config,n_bands,seed,best_k,mean_top10_anova_block,mean_top10_anova_period,periodicity_strength,silhouette_best,Z_R2,p_block,p_period,p_periodicity,p_silhouette,p_Z_R2,n_perm
remove_top5_Zcorr,36,42,2,4.899559351304e+00,1.686995814656e+01,1.587206338970e+07,7.514954124223e-01,4.326699298250e-01,4.975124378109e-03,4.975124378109e-03,2.189054726368e-01,4.761904761905e-02,4.975124378109e-03,200
remove_top5_Zcorr,37,42,2,5.118359523303e+00,1.760258373517e+01,1.514233635526e+07,7.518905452154e-01,4.878595964678e-01,4.975124378109e-03,4.975124378109e-03,2.139303482587e-01,4.761904761905e-02,4.975124378109e-03,200
remove_top5_Zcorr,38,42,2,5.447793227341e+00,1.597999373597e+01,1.688326429575e+07,7.717657761587e-01,5.656710447075e-01,4.975124378109e-03,4.975124378109e-03,1.243781094527e-01,4.761904761905e-02,4.975124378109e-03,200
