phi_21,phi_37,cond_21,cond_37,sync_21,sync_37,entropy_21,entropy_37,k90_21,k90_37,kstar,kmod,seed_id,anchors
9.931275889580e-01,1.029184725213e+00,1.579326513362e+00,1.553740130069e+00,3.528909595576e-01,3.615937014326e-01,2.401266727246e+00,2.802657589588e+00,1.400000000000e+01,2.200000000000e+01,5.000000000000e+00,5.800000000000e+01,0,"5,6,9,11,12,15,16,18,19,21,23,25,27,29,30,34,35"
1.024454213869e+00,9.964081870202e-01,1.575226396754e+00,1.562041883182e+00,3.629254965155e-01,3.532895356764e-01,2.354566890224e+00,2.820790183460e+00,1.400000000000e+01,2.200000000000e+01,5.000000000000e+00,5.600000000000e+01,1,"4,6,9,10,16,17,18,19,20,24,25,26,28,29,37"
9.785399033615e-01,9.720485281304e-01,1.585102811296e+00,1.578941201903e+00,3.333140574795e-01,3.157310046269e-01,2.447822545168e+00,2.930038644262e+00,1.400000000000e+01,2.300000000000e+01,5.000000000000e+00,6.000000000000e+01,2,"5,7,9,10,11,13,15,19,20,24,26,28,31,36,39"
1.002012713974e+00,1.001055576016e+00,1.538128920695e+00,1.565666379516e+00,3.894444324121e-01,3.252768202471e-01,2.341295771784e+00,2.917774610326e+00,1.400000000000e+01,2.300000000000e+01,5.000000000000e+00,6.000000000000e+01,3,"3,6,8,10,12,15,17,18,21,22,27,28,39,44,47"
9.950504014261e-01,9.897035657652e-01,1.551129015977e+00,1.555491882219e+00,3.472603707987e-01,3.267297873927e-01,2.385346312539e+00,2.881274516274e+00,1.400000000000e+01,2.300000000000e+01,5.000000000000e+00,5.500000000000e+01,4,"6,7,9,11,12,14,17,18,19,21,22,26,27,29,30,32"
9.869389021468e-01,9.996530911842e-01,1.568746543779e+00,1.565931025589e+00,3.644737144272e-01,3.491998757804e-01,2.411267209545e+00,2.871641581485e+00,1.500000000000e+01,2.300000000000e+01,8.000000000000e+00,5.600000000000e+01,5,"4,7,8,9,10,11,15,17,19,21,22,25,28,33,35,39,43"
9.994115391015e-01,9.890414064801e-01,1.557239228864e+00,1.563306615318e+00,3.373866862073e-01,3.264692165016e-01,2.444369100902e+00,2.930056732067e+00,1.500000000000e+01,2.300000000000e+01,5.000000000000e+00,5.200000000000e+01,6,"4,6,7,9,10,17,18,21,23,27,28,30,32,39,45"
9.886843422955e-01,9.852995583479e-01,1.542338817924e+00,1.544785173234e+00,3.909270757362e-01,3.703080687151e-01,2.269232405418e+00,2.798959077289e+00,1.400000000000e+01,2.200000000000e+01,5.000000000000e+00,5.200000000000e+01,7,"5,6,8,9,10,11,15,16,18,19,21,23,26,27,28,29"
1.003835609695e+00,1.004984920723e+00,1.562786709470e+00,1.565428105645e+00,3.396109905653e-01,3.328248431960e-01,2.413482229708e+00,2.897844987418e+00,1.500000000000e+01,2.300000000000e+01,8.000000000000e+00,5.700000000000e+01,8,"5,7,8,10,11,15,16,17,18,21,22,24,27,29,31,39"
1.012832790614e+00,9.751934408889e-01,1.560400679795e+00,1.576925393839e+00,3.899886658569e-01,3.468114373183e-01,2.321353812707e+00,2.841540810614e+00,1.400000000000e+01,2.200000000000e+01,5.000000000000e+00,4.800000000000e+01,9,"3,4,7,9,11,13,17,20,23,24,25,27,29,31,38,49"
