band,anova_f_period
b11,5.895118949959e+01
b12,5.145669824087e+01
b10,2.731122448980e+01
b13,2.413763394859e+01
b14,1.905088964048e+01
b02,1.652160493827e+01
b04,1.652160493827e+01
b03,1.652160493827e+01
b01,1.652160493827e+01
b05,1.652160493827e+01
b09,1.652160493827e+01
b06,1.652160493827e+01
b07,1.652160493827e+01
b59,1.604880118518e+01
b58,9.861824401203e+00
b21,7.461259944326e+00
b15,7.293090554276e+00
b55,6.193707396881e+00
b33,5.195473251029e+00
b20,5.178659666768e+00
b53,4.791077929934e+00
b56,3.987166437580e+00
b18,3.888917879979e+00
b57,3.822414541150e+00
b52,3.656839162884e+00
b51,2.781176733846e+00
b62,2.662642751028e+00
b61,2.469992490987e+00
b50,2.399153381435e+00
b49,2.388921198130e+00
b54,2.387296337242e+00
b39,2.378372199360e+00
b38,2.226631393298e+00
b35,2.226631393298e+00
b63,2.226631393298e+00
b64,2.226631393298e+00
b37,2.226631393298e+00
b22,2.226631393298e+00
b23,2.171775146877e+00
b60,2.146984941067e+00
b24,2.128186834094e+00
b25,2.100324609454e+00
b27,1.970516185477e+00
b19,1.758640845176e+00
b26,1.749460692375e+00
b48,1.557994027850e+00
b47,1.414531614184e+00
b44,1.355539287457e+00
b46,1.297360131428e+00
b16,1.071466563430e+00
b17,1.056326494422e+00
b45,9.836457184859e-01
b41,8.950238582140e-01
b28,8.251633986928e-01
b29,8.251633986928e-01
b40,7.333671057075e-01
b31,7.261437908497e-01
b30,7.261437908497e-01
b32,7.008237084788e-01
b42,6.876467324028e-01
b43,5.650200548871e-01
b08,
b34,
b36,
