band,anova_f_block
b53,1.047459476690e+01
b57,8.671574494066e+00
b56,8.569604875958e+00
b52,8.287139299846e+00
b54,6.128565391555e+00
b51,5.613667282673e+00
b61,5.513780978249e+00
b20,5.089195495396e+00
b55,5.000284159274e+00
b18,4.862664912676e+00
b12,4.769297484822e+00
b50,4.769026043020e+00
b26,4.544235582546e+00
b27,3.893269613700e+00
b19,3.751051261027e+00
b11,3.695626123427e+00
b13,3.599381118301e+00
b49,3.400152546088e+00
b25,3.311653116531e+00
b14,3.269893074957e+00
b24,3.152386217063e+00
b60,2.992560437776e+00
b10,2.948130277443e+00
b23,2.859293833491e+00
b48,2.826788222627e+00
b59,2.793813073219e+00
b58,2.725431866966e+00
b62,2.523566523775e+00
b47,2.492539284299e+00
b01,2.320987654321e+00
b06,2.320987654321e+00
b07,2.320987654321e+00
b05,2.320987654321e+00
b09,2.320987654321e+00
b63,2.320987654321e+00
b03,2.320987654321e+00
b04,2.320987654321e+00
b02,2.320987654321e+00
b29,2.320987654321e+00
b28,2.320987654321e+00
b22,2.320987654321e+00
b30,1.947903459015e+00
b33,1.788359788360e+00
b32,1.778166570228e+00
b46,1.645791245791e+00
b21,1.578072470003e+00
b39,1.403640929065e+00
b45,1.373776908023e+00
b17,1.363710472882e+00
b15,1.276155765998e+00
b38,8.633461047254e-01
b35,8.633461047254e-01
b64,8.633461047254e-01
b37,8.633461047254e-01
b31,6.743531937735e-01
b43,6.103286384977e-01
b44,5.285168641160e-01
b40,4.760625569296e-01
b42,3.929798263694e-01
b41,3.883883883884e-01
b16,1.127685309836e-01
b08,
b34,
b36,
