k,inertia,silhouette
2,6.071053633444e+03,4.278033046839e-01
3,5.979502913586e+03,2.962255336086e-01
4,5.573395385029e+03,4.110123822035e-01
5,5.553536385700e+03,2.152377168419e-01
6,4.085180829500e+03,3.557724468140e-01
7,5.062151510941e+03,2.288761388563e-01
8,4.801320653962e+03,3.818635437271e-02
9,4.327629065568e+03,2.652791768203e-02
10,3.795863922432e+03,1.242401779955e-01
11,2.986550108190e+03,2.352935920299e-01
12,3.015046618622e+03,2.007341408421e-01
