band,anova_f_block
b20,1.036057334402e+01
b22,6.932603628488e+00
b23,5.785476853972e+00
b19,5.315796936257e+00
b08,4.809010376821e+00
b10,4.009975717005e+00
b05,3.633142457007e+00
b04,3.505098103306e+00
b18,2.938319717279e+00
b09,2.807453514901e+00
b21,2.469510985102e+00
b11,2.393584276328e+00
b01,2.320987654321e+00
b03,2.320987654321e+00
b02,2.320987654321e+00
b24,2.192144749590e+00
b17,2.122831692452e+00
b14,1.788359788360e+00
b13,1.788359788360e+00
b07,1.563023857734e+00
b12,1.164645471430e+00
b15,6.744217141329e-01
b16,6.020017526867e-01
b06,7.050698914929e-02
