k,inertia,silhouette
2,2.330669899004e+03,4.539473828765e-01
3,2.182214263287e+03,4.983312914670e-01
4,2.054768328580e+03,4.547838943848e-01
5,2.018468867361e+03,2.401437402825e-01
6,1.570680284402e+03,2.095655403260e-01
7,1.644309976607e+03,2.555689309395e-01
8,1.520613946962e+03,1.658676485367e-01
9,1.252521194063e+03,3.276030421630e-01
10,1.188556239877e+03,2.673418601745e-01
11,1.174784383765e+03,2.532250274146e-01
12,1.411666263118e+03,2.662610524131e-01
