k,inertia,silhouette,status,repeat
2,3.286462308877569e+37,0.775325115016004,ok,1
3,2.057483847375915e+37,0.5557681153212904,ok,1
4,1.2630208599894287e+37,0.5696927837207592,ok,1
5,1.0662902731876681e+37,0.3648895256132877,ok,1
6,8.927338842322324e+36,0.3858941927868049,ok,1
7,7.56683768176356e+36,0.3902237387822137,ok,1
8,5.86531743609036e+36,0.4743619772236535,ok,1
