symbol,pc1,pc2,pc3
Ag,-1.2065632144636171e+17,-3.2533815911099156e+16,-1.2354061803566965e+17
Al,-1.2752524865421648e+17,-8.008653981666904e+16,7145640841427840.0
Am,-1.2426656592081355e+17,-2.3466314602937926e+17,-1.5763252814799715e+17
Ar,6.30378362877282e+16,1.5329632909973222e+18,9.513051463978771e+16
At,-1.2427978801833072e+17,-2.3262145058669187e+17,-1.56143207137689e+17
Au,-1.2270289785763082e+17,-1.3519315529156838e+17,-1.35952268806636e+17
B,-1.1936865431218952e+17,-7157494379406585.0,-2.214212984990712e+17
Ba,-1.420124475264385e+17,-2.936757455998472e+17,2.16994023800617e+17
Be,-9.191188712524677e+16,1.7360290803499258e+17,-3.549942124697423e+17
Bh,-1.2416805422654798e+17,-2.3261487146777846e+17,-1.587140229804433e+17
Bi,-1.2264212201820557e+17,-1.2428571132964603e+17,-1.3103189387914394e+17
Bk,-1.2417488166518123e+17,-2.3297091690787142e+17,-1.5876328900218813e+17
Br,-1.1082948184554779e+17,4.629815251632193e+17,-6.246417573300575e+16
C,-3.659519200354215e+16,8.367730793321233e+17,-4983777430050763.0
Ca,2.397816249888214e+17,6.648611863261085e+17,2.0374049643602403e+17
Cd,-2.3714425309087748e+16,-3.1671292826671416e+16,-1.2102769920617758e+17
Ce,-1.454275576009343e+17,-3.0508176951278426e+17,2.874700075066294e+17
Cf,-1.241744964046029e+17,-2.3295082587819232e+17,-1.5876050900561014e+17
Cl,9557033674097402.0,8.173417550112575e+17,-6363823269652692.0
Cm,-1.2426676115596638e+17,-2.3466379525441683e+17,-1.576284061280595e+17
Co,-1.2420329702025875e+17,-2.3445275484849325e+17,-1.5896833097712797e+17
Cr,-9.832852181766114e+16,3.342848368156969e+17,2.2521535514537645e+17
Cs,-1.3063712496315867e+17,-2.4385159684079405e+17,-1.6193428316664458e+16
Cu,-1.1134992986994208e+17,4.898532432014026e+17,-3.4890936497194356e+16
Db,-1.2417203325164443e+17,-2.3282237443011728e+17,-1.587427351736173e+17
Dy,-1.530956936548688e+17,-3.305384847756055e+17,4.5076426420145056e+17
Er,-1.5200784111622483e+17,-3.2555141474501344e+17,4.286683527291227e+17
Es,-1.241740997412753e+17,-2.3293014020430947e+17,-1.5875764672809005e+17
Eu,-1.50917779948063e+17,-3.0313991430373126e+17,4.166166260852221e+17
F,9.885306562485208e+17,-1.0997914178588133e+17,-7.26590840157737e+16
Fe,-1.1679419907465405e+17,7.2010393462638e+17,2.241097756387007e+17
Fm,-1.2417351117525165e+17,-2.3289944695898595e+17,-1.5875339970251056e+17
Fr,-1.2907565623329742e+17,-2.5065587868990358e+17,-5.612479482972623e+16
Ga,-7.69213188886194e+16,-4.846549046834955e+16,8.989507020521875e+16
Gd,-1.4653327913927437e+17,-3.073464294533252e+17,3.127854476076904e+17
Ge,-1.0329545721113523e+17,8.898154153177138e+17,1.158324222913583e+16
H,-1.1786885019173944e+17,9.588355866039109e+16,-1.1325968210301754e+17
He,4.809839284560564e+18,-3.548319265869469e+17,1.0976566451705997e+17
Hf,-1.3515046784262357e+17,-1.8507902161827402e+17,1.2182098160776176e+17
Hg,-7994788153041913.0,4.5027384748659795e+17,-5.4369319639507304e+16
Ho,-1.3144815664192854e+17,-2.5855013147107155e+17,-6193023469286656.0
I,-1.1401949931537413e+17,2.9665370002010195e+17,-8.546947608121637e+16
