symbol,pc1,pc2,pc3
Sm,-2.927691454736047e+17,-4.186101808219342e+16,1.5085376976170387e+17
Sn,9.549950492227752e+16,-8.575729017567856e+16,-8.458224153002008e+16
Sr,-5.533295769318193e+16,-7.78146084425423e+16,1.5781624111352074e+17
Ta,-2.433343031040568e+17,-4.5244177799952824e+16,8.558464631736472e+16
Tb,-2.982396409915168e+17,-4.30815762311899e+16,1.8441823611040256e+17
Tc,-2.0566140499491955e+17,-5.035882871113356e+16,7.66124636678271e+16
Te,-2.2637358823091776e+16,-6.532383934324175e+16,-1.292605140437577e+17
Th,-3.526926288412705e+17,-5.572257509467718e+16,5.287743043561467e+17
Tl,-2.2379611216990637e+17,-3.6983662535714856e+16,-9.883490424180638e+16
Tm,-1.5031427664003485e+17,-7.807605137188365e+16,3.9730499676154726e+17
U,-2.396006709171129e+17,-3.0542500686761652e+16,-1.6601074163685187e+17
V,-2.777838810247354e+17,-5.595743568827024e+16,3.4727992339799014e+17
W,1.1680069492242656e+17,-1.0363701219794635e+17,1.57547692123249e+17
Xe,9.128677058733588e+17,7.153569214359847e+16,1.6521029737886222e+16
Y,-2.6676876288575402e+17,-3.715902418907049e+16,1.0061657708766082e+16
Zn,4.3188891511488864e+17,3.7268690702786157e+17,-4.907206014803438e+16
Zr,-2.682153838517227e+17,-3.809365716498516e+16,2.868326212481126e+16
