band,anova_f_period
b07,9.921625183124e+01
b06,4.882191861245e+01
b08,2.131013189123e+01
b02,1.652160493827e+01
b01,1.652160493827e+01
b03,1.652160493827e+01
b04,1.652160493827e+01
b05,1.652160493827e+01
b34,1.324376321193e+01
b32,8.479568231247e+00
b33,6.666290385861e+00
b12,5.761574890818e+00
b19,5.195473251029e+00
b31,4.846525693698e+00
b30,3.874967318245e+00
b11,3.837428727682e+00
b37,3.510454899344e+00
b29,2.721013983705e+00
b35,2.653399918357e+00
b36,2.355413352448e+00
b20,2.226631393298e+00
b21,2.226631393298e+00
b13,2.199259990855e+00
b14,2.092156326990e+00
b22,2.053740014524e+00
b28,1.883853371577e+00
b15,1.788541666667e+00
b26,1.740125955915e+00
b10,1.418462840847e+00
b27,1.410363075699e+00
b25,1.265866666667e+00
b09,1.234765695344e+00
b24,9.728132387707e-01
b23,9.561534628799e-01
b16,8.156137382179e-01
b17,7.845399698341e-01
b18,6.728255404726e-01
