band,anova_f_block
b33,1.361791404164e+01
b31,9.968330741270e+00
b30,8.590248795193e+00
b07,6.433741102101e+00
b36,5.978184484088e+00
b29,5.387999877188e+00
b11,4.578195131696e+00
b15,4.451730418944e+00
b32,4.021410043573e+00
b35,3.744555611841e+00
b06,3.544849170922e+00
b14,3.355295197594e+00
b08,3.319960760622e+00
b12,3.098529558286e+00
b28,2.842440175374e+00
b27,2.738116036533e+00
b13,2.628797461809e+00
b16,2.488294753749e+00
b34,2.482475344862e+00
b05,2.320987654321e+00
b01,2.320987654321e+00
b02,2.320987654321e+00
b04,2.320987654321e+00
b03,2.320987654321e+00
b17,2.210226086957e+00
b26,2.097239720163e+00
b37,2.069660391659e+00
b19,1.788359788360e+00
b10,1.726387625886e+00
b18,1.498383152577e+00
b23,1.332872530384e+00
b22,1.254682889110e+00
b20,8.633461047254e-01
b21,8.633461047254e-01
b25,7.439198855508e-01
b24,6.633131699034e-01
b09,5.974302728139e-02
