k,inertia,silhouette
2,3.648140558332e+03,4.299916927653e-01
3,3.312171038053e+03,4.965372350053e-01
4,3.251051743873e+03,4.120733824599e-01
5,2.928653458328e+03,4.549469693850e-01
6,2.772053092991e+03,2.637663030807e-01
7,2.822933481797e+03,1.712816410143e-01
8,2.245379615337e+03,2.464899651057e-01
9,1.887339116736e+03,1.477414418655e-01
10,2.096114247133e+03,2.535025507263e-01
11,1.624681158135e+03,3.101657175135e-01
12,1.970607974012e+03,2.506232681846e-01
