k,inertia,silhouette
2,4.651449749254e+03,4.305849245112e-01
3,4.403560170745e+03,5.272646969302e-01
4,4.221471598550e+03,4.585249886247e-01
5,3.370137353500e+03,4.810404308253e-01
6,3.329855548675e+03,1.798636430845e-01
7,3.813298487012e+03,2.553990695559e-01
8,3.560476532227e+03,1.302951581553e-01
9,2.966632246431e+03,1.283213219022e-01
10,2.715999949992e+03,2.150403407048e-01
11,1.950626905074e+03,3.717208884527e-01
12,2.722475149992e+03,1.846168363426e-01
