src,dst,weight
Ac,Be,9.300726310649e+00
Ac,F,8.331691546347e+00
Ac,He,1.801164032128e+01
Ac,Na,9.673697976152e+00
Ac,Ne,1.092102085397e+01
Ac,O,9.763473305736e+00
Am,He,1.315450199428e+01
Ar,Bi,1.048337355246e+01
Ar,Co,1.167672124273e+01
Ar,Mo,2.858380345732e+01
Ar,Nb,1.165211365258e+01
Ar,Pd,1.170045600884e+01
At,Ce,7.934743377347e+00
At,Es,1.308439623048e+01
At,He,8.846867752264e+00
Ba,Bi,1.829171527385e+01
Ba,F,1.085333847535e+01
Be,Ce,9.406826230608e+00
Be,Co,1.435672852209e+01
Be,Cs,8.551671518876e+00
Be,Fr,7.987634612913e+00
Be,Ho,8.625877200419e+00
Be,Nb,1.438161841140e+01
Be,Nd,9.122077104001e+00
Be,Pd,1.436802920585e+01
Be,Pm,8.934854351551e+00
Be,Pr,9.833463514746e+00
Be,Sm,8.839846994310e+00
Be,Tb,9.144015762816e+00
Bh,Db,2.090238583986e+01
Bh,Fm,2.082402274228e+01
Bh,He,1.107348258398e+01
Bh,Hf,1.539224625008e+01
Bh,Hs,2.108322375734e+01
Bh,Lr,2.045044174443e+01
Bh,Md,2.084512049932e+01
Bh,No,2.085548853992e+01
Bh,Rf,2.070888926816e+01
Bh,Sg,2.114350306316e+01
Bh,W,1.654676051699e+01
Bi,Br,1.349303124121e+01
Bi,F,4.260320643120e+01
Bi,Mo,6.833549133759e+01
Bi,Tm,1.439754792298e+01
Bi,Y,2.782788430580e+01
Bk,He,1.452138649197e+01
C,Th,8.491007102782e+00
Ce,F,8.027133377736e+00
Cf,He,1.299329777509e+01
Cl,Co,8.685257849541e+00
Cl,Nb,8.660858766621e+00
Cl,Pd,8.704392419853e+00
Cm,He,1.480810937341e+01
Co,F,1.330813005171e+01
Co,He,2.575387917591e+01
Co,Kr,1.066907979770e+01
Co,N,1.087245754116e+01
Co,Na,1.458056549965e+01
Co,Ne,1.683467142978e+01
Co,O,1.354353715337e+01
Cr,Fe,8.285278931734e+00
Cr,Th,1.305503488784e+01
Cs,He,1.326701202416e+01
Cs,Na,8.650720842908e+00
Cs,Ne,8.444464622366e+00
Db,Fm,2.052447510239e+01
Db,He,1.260093735674e+01
Db,Hf,1.516630525075e+01
Db,Hs,2.086302013804e+01
Db,Lr,2.003653722833e+01
Db,Md,2.055203109366e+01
Db,No,2.056557289509e+01
Db,Rf,2.037409812144e+01
Db,Sg,2.094175154168e+01
Db,W,1.641511483285e+01
Es,He,1.187223910028e+01
F,Mo,5.700088750761e+01
F,Nb,1.322966191718e+01
F,Pd,1.332581313114e+01
F,Pr,8.848630030331e+00
F,Tb,7.895375686673e+00
F,Tm,1.187617500400e+01
F,Y,2.035844749771e+01
Fe,Th,3.599241928963e+01
Fe,Ti,8.795088452074e+00
Fe,V,8.116839368268e+00
Fm,He,1.316827770092e+01
Fm,Hf,1.508238430814e+01
Fm,Hs,2.078123022230e+01
Fm,Lr,1.988280126521e+01
Fm,Md,2.044316931442e+01
Fm,No,2.045788994129e+01
Fm,Rf,2.024974712408e+01
Fm,Sg,2.086681526227e+01
Fm,W,1.636621786445e+01
Fr,He,1.218747785024e+01
He,Ho,1.372351812056e+01
He,Hs,1.129169040866e+01
He,La,9.566065008349e+00
He,Lr,1.587296368783e+01
He,Lu,8.034397629197e+00
He,Md,1.301553222364e+01
He,Nb,2.594517348303e+01
He,No,1.294046873195e+01
He,Np,1.387029432413e+01
He,Pa,1.481447236738e+01
He,Pd,2.567410160944e+01
He,Pm,1.170526889459e+01
He,Pr,1.263132372009e+01
He,Pu,1.454210082965e+01
He,Ra,1.388752084567e+01
He,Rb,1.056980811141e+01
He,Rf,1.400183159120e+01
He,Rh,1.158258466694e+01
He,Ru,7.981519520916e+00
He,Sg,1.085527475930e+01
He,Sm,8.556648023738e+00
He,Ta,8.888265816335e+00
He,Tb,8.295303445166e+00
He,Tc,8.236430715047e+00
He,Th,9.244479602768e+00
He,U,1.470570193170e+01
He,Zr,1.210660827827e+01
Hf,Hs,1.535996896446e+01
Hf,Lr,1.468230735289e+01
Hf,Md,1.510497840807e+01
Hf,No,1.511608179432e+01
Hf,Rf,1.495908507707e+01
Hf,Sg,1.542452353570e+01
Hf,W,1.633610902468e+01
Ho,Na,7.953263452768e+00
Ho,Ne,9.322213063511e+00
Hs,Lr,2.039131252784e+01
Hs,Md,2.080325058423e+01
Hs,No,2.081407201923e+01
Hs,Rf,2.066106196148e+01
Hs,Sg,2.111468141724e+01
Hs,W,1.652795399069e+01
K,Y,1.553737241985e+02
Kr,Nb,1.070525974524e+01
Kr,Pd,1.065164448080e+01
Lr,Md,1.992419171682e+01
Lr,Ne,7.934809180913e+00
Lr,No,1.994453216733e+01
Lr,Rf,1.965692765786e+01
Lr,Sg,2.050957096101e+01
Lr,W,1.613311097088e+01
Md,No,2.048688150577e+01
Md,Rf,2.028322623876e+01
Md,Sg,2.088699041442e+01
Md,W,1.637938243287e+01
Mo,Tm,1.391542170849e+01
Mo,Y,2.096347323500e+01
N,Nb,1.084608719567e+01
N,Pd,1.090751710397e+01
Na,Nb,1.462974826171e+01
Na,Pd,1.456597249000e+01
Nb,Ne,1.696804482498e+01
Nb,O,1.350100074114e+01
Ne,Pd,1.679759184523e+01
Ne,Pr,9.867915645073e+00
Ne,Ra,7.926487712627e+00
Ne,Tb,8.286044514527e+00
Ne,Th,1.001725709296e+01
Ne,Zr,8.402872173328e+00
No,Rf,2.029967883225e+01
No,Sg,2.089690506062e+01
No,W,1.638585187791e+01
O,Pd,1.356093399201e+01
Rf,Sg,2.075671657483e+01
Rf,W,1.629437693396e+01
Sg,W,1.656556704330e+01
Th,Ti,1.210203605023e+01
Th,V,1.101950167198e+01
