src,dst,weight
Ar,Mo,2.644853795386e+01
Ba,Bi,1.797352334102e+01
Bh,Db,1.691421442565e+01
Bh,Fm,1.691421442565e+01
Bh,Hf,1.691421442565e+01
Bh,Hs,1.691421442565e+01
Bh,Lr,1.691421442565e+01
Bh,Md,1.691421442565e+01
Bh,No,1.691421442565e+01
Bh,Rf,1.691421442565e+01
Bh,Sg,1.691421442565e+01
Bh,W,1.691421442565e+01
Bi,F,4.131161511645e+01
Bi,Mo,6.764158631900e+01
Bi,Y,2.821922802989e+01
Cr,Th,1.703212920187e+01
Db,Fm,1.691421442565e+01
Db,Hf,1.691421442565e+01
Db,Hs,1.691421442565e+01
Db,Lr,1.691421442565e+01
Db,Md,1.691421442565e+01
Db,No,1.691421442565e+01
Db,Rf,1.691421442565e+01
Db,Sg,1.691421442565e+01
Db,W,1.691421442565e+01
F,Mo,5.283023485105e+01
Fe,Th,4.157799696129e+01
Fm,Hf,1.691421442565e+01
Fm,Hs,1.691421442565e+01
Fm,Lr,1.691421442565e+01
Fm,Md,1.691421442565e+01
Fm,No,1.691421442565e+01
Fm,Rf,1.691421442565e+01
Fm,Sg,1.691421442565e+01
Fm,W,1.691421442565e+01
Hf,Hs,1.691421442565e+01
Hf,Lr,1.691421442565e+01
Hf,Md,1.691421442565e+01
Hf,No,1.691421442565e+01
Hf,Rf,1.691421442565e+01
Hf,Sg,1.691421442565e+01
Hf,W,1.691421442565e+01
Hs,Lr,1.691421442565e+01
Hs,Md,1.691421442565e+01
Hs,No,1.691421442565e+01
Hs,Rf,1.691421442565e+01
Hs,Sg,1.691421442565e+01
Hs,W,1.691421442565e+01
K,Y,1.557365560559e+02
Lr,Md,1.691421442565e+01
Lr,No,1.691421442565e+01
Lr,Rf,1.691421442565e+01
Lr,Sg,1.691421442565e+01
Lr,W,1.691421442565e+01
Md,No,1.691421442565e+01
Md,Rf,1.691421442565e+01
Md,Sg,1.691421442565e+01
Md,W,1.691421442565e+01
Mo,Y,2.162139222621e+01
No,Rf,1.691421442565e+01
No,Sg,1.691421442565e+01
No,W,1.691421442565e+01
Rf,Sg,1.691421442565e+01
Rf,W,1.691421442565e+01
Sg,W,1.691421442565e+01
