src,dst,weight
H,Kr,6.255772211404e+00
H,Ne,9.331224345170e+00
H,Xe,5.208568901848e+00
He,Hs,1.588143315943e+01
He,Lr,1.234744549900e+01
He,Md,1.455166404690e+01
He,Nb,5.480839303020e+00
He,No,1.460956791712e+01
He,Np,1.441517765638e+01
He,Pa,1.418601922938e+01
He,Pd,5.209767429426e+00
He,Po,4.195090215523e+00
He,Pu,1.433922055636e+01
He,Ra,6.175023356946e+00
He,Rf,1.379083412430e+01
He,Rn,8.930685088899e+00
He,Sg,1.621808356766e+01
He,Tl,4.209157330552e+00
He,U,1.502750159170e+01
Hf,Hs,1.578654891614e+01
Hf,Lr,1.626818496942e+01
Hf,Md,1.596777896239e+01
Hf,No,1.595988742620e+01
Hf,Rf,1.607147007745e+01
Hf,Sg,1.574066789177e+01
Hf,W,1.707916773390e+01
Hs,Kr,6.292298368405e+00
Hs,Lr,1.531669181421e+01
Hs,Md,1.605007578696e+01
Hs,Na,5.754122506702e+00
Hs,Ne,8.178185483001e+00
Hs,No,1.606934146749e+01
Hs,Rf,1.579693370549e+01
Hs,Sg,1.660452415124e+01
Hs,W,1.705181776548e+01
Hs,Xe,4.393239062457e+00
I,Th,5.147805757395e+00
In,Na,4.078854423545e+00
K,Y,1.565383146809e+02
Kr,Lr,4.899643014516e+00
Kr,Md,5.768269918978e+00
Kr,No,5.791088372978e+00
Kr,Np,6.112548393293e+00
Kr,Pa,6.146785322849e+00
Kr,Pu,6.161994485035e+00
Kr,Rf,5.468446046647e+00
Kr,Sg,6.424963798640e+00
Kr,U,6.579394983729e+00
Lr,Md,1.509696787758e+01
Lr,Na,5.916387858502e+00
Lr,Ne,5.285706889280e+00
Lr,No,1.510653560343e+01
Lr,Rf,1.497125241005e+01
Lr,Sg,1.537231812727e+01
Lr,W,1.755061185977e+01
Md,Na,5.815179724097e+00
Md,Ne,7.089803444877e+00
Md,No,1.570705681276e+01
Md,Rf,1.548624629258e+01
Md,Sg,1.614086958637e+01
Md,W,1.723950404054e+01
Mo,Tm,1.458709897293e+01
Mo,Y,2.197206886222e+01
Na,Nb,6.077988898339e+00
Na,No,5.812521030074e+00
Na,Np,6.282697421725e+00
Na,Pa,6.581376122588e+00
Na,Pd,6.014213126628e+00
Na,Pu,6.525185142275e+00
Na,Ra,4.981639067820e+00
Na,Rf,5.850113726962e+00
Na,Sg,5.738664983311e+00
Na,U,6.912798994555e+00
Nb,O,4.588995498986e+00
Ne,No,7.137196282994e+00
Ne,Np,7.735329873331e+00
Ne,Pa,7.472152732179e+00
Ne,Pu,7.651746787934e+00
Ne,Rf,6.467083595218e+00
Ne,Rn,5.057485861252e+00
Ne,Sg,8.453725239488e+00
Ne,U,8.121076789224e+00
No,Rf,1.549977495967e+01
No,Sg,1.616105910160e+01
No,W,1.723133137236e+01
No,Xe,3.970656444622e+00
Np,Xe,4.295191241765e+00
O,Pd,4.648928749850e+00
Pa,Xe,4.380672436927e+00
Pu,Xe,4.402900379672e+00
Rf,Sg,1.587558874673e+01
Rf,W,1.734688909919e+01
Sc,Th,6.032016868703e+00
Sg,W,1.700430225281e+01
Sg,Xe,4.505092587559e+00
Th,Ti,1.346415300363e+01
Th,V,1.251240716102e+01
U,Xe,4.860895787596e+00
