src,dst,weight
Am,At,8.382695967796e+00
Am,Es,2.618282414025e+00
Am,Ir,1.663849478529e+00
Am,Mo,1.722663822373e+00
Am,Pm,2.055944667551e+00
Am,Tm,1.630580717537e+00
Am,Yb,1.741371748135e+00
As,At,3.520058233699e+00
At,Au,4.596433824567e+00
At,Ce,5.348799787493e+00
At,Cf,6.267639832716e+00
At,Co,5.037515957153e+00
At,Dy,5.049662175981e+00
At,Er,4.883687224003e+00
At,Es,1.296645558142e+01
At,Eu,4.901438429548e+00
At,F,3.982973500845e+00
At,Fr,4.052794613817e+00
At,Gd,4.766724417340e+00
At,Ho,5.047378736536e+00
At,Ir,6.491991715368e+00
At,La,5.023677293071e+00
At,Lu,5.067111009050e+00
At,Mn,5.123732411731e+00
At,Mo,5.545380143845e+00
At,Nb,4.721073552465e+00
At,Nd,5.645052619715e+00
At,Ni,4.994837809545e+00
At,Os,5.887105965518e+00
At,Pd,5.072054992352e+00
At,Pm,8.693544987681e+00
At,Po,5.538553641812e+00
At,Pr,6.023333504674e+00
At,Pt,2.715924326013e+00
At,Re,5.235455149186e+00
At,Rh,5.308319524616e+00
At,Rn,4.117182316046e+00
At,Ru,4.796900327154e+00
At,Sb,1.849162433427e+00
At,Sm,5.516324109723e+00
At,Ta,4.994732577150e+00
At,Tb,5.148160933596e+00
At,Tc,4.778040825325e+00
At,Tm,5.605413897423e+00
At,Yb,6.316027307453e+00
At,Zr,4.632134496010e+00
Bh,Bi,1.615370963803e+00
Bh,Db,4.745802991721e+00
Bh,Fm,4.745802991721e+00
Bh,Hf,4.745802991721e+00
Bh,Hs,4.745802991721e+00
Bh,Lr,4.745802991721e+00
Bh,Md,4.745802991721e+00
Bh,No,4.745802991721e+00
Bh,Rb,1.947395843605e+00
Bh,Rf,4.745802991721e+00
Bh,Sg,4.745802991721e+00
Bh,W,4.745802991721e+00
Bi,Db,1.615370963803e+00
Bi,Fm,1.615370963803e+00
Bi,Hf,1.615370963803e+00
Bi,Hs,1.615370963803e+00
Bi,Lr,1.615370963803e+00
Bi,Md,1.615370963803e+00
Bi,No,1.615370963803e+00
Bi,Rf,1.615370963803e+00
Bi,Sg,1.615370963803e+00
Bi,W,1.615370963803e+00
C,Cr,2.428536634622e+00
C,Fe,5.160260496759e+00
C,He,1.691130894861e+00
C,Th,6.860368184961e+00
C,Ti,2.246493754055e+00
C,V,2.670822163790e+00
Ce,Es,1.690756189402e+00
Cf,Es,2.004837603443e+00
Cr,Fe,1.227931862656e+01
Cr,He,2.791826626413e+00
Cr,Ne,1.694512694281e+00
Cr,Sc,2.306715041849e+00
Cr,Th,1.675070612116e+01
