src,dst,weight
Ac,Ca,2.352394894063e+00
Ac,Ce,3.921882436296e+00
Ac,Dy,2.968017300659e+00
Ac,Er,2.766214621785e+00
Ac,Eu,2.059227508661e+00
Ac,Gd,2.606175785709e+00
Ac,Ge,2.330170132843e+00
Ac,Nd,2.946920424640e+00
Ac,Sm,2.105163249250e+00
Ac,Tb,2.525196263937e+00
Ag,Ca,2.107192595358e+00
Ag,He,3.725384843216e+00
Ag,Ne,2.061203295617e+00
Am,Ar,2.965339529405e+00
Am,At,8.994984178472e+00
Am,Ca,2.193156860584e+00
Am,Ce,4.428990999432e+00
Am,Dy,3.520220368684e+00
Am,Er,3.337220458486e+00
Am,Es,2.852018788175e+00
Am,Eu,2.930244502290e+00
Am,Gd,2.818621039679e+00
Am,He,5.498733462555e+00
Am,Mn,3.065110115732e+00
Am,Nd,3.306605196836e+00
Am,Ne,3.125076135670e+00
Am,Sm,2.326488303217e+00
Am,Tb,2.763795024542e+00
Am,Tm,2.664443468151e+00
Ar,Bh,3.193232321419e+00
Ar,Bi,8.859095939508e+00
Ar,Bk,3.629766087293e+00
Ar,Cf,3.301387129042e+00
Ar,Cm,3.488757021562e+00
Ar,Db,2.560639566149e+00
Ar,Es,2.971672874828e+00
Ar,F,2.988179021289e+00
Ar,Fm,2.325676542765e+00
Ar,H,6.290651389119e+00
Ar,He,1.052538189994e+01
Ar,Hs,3.102861927809e+00
Ar,Kr,5.195734726116e+00
Ar,Md,2.388935818291e+00
Ar,Mo,2.487365693724e+01
Ar,Ne,9.986319238320e+00
Ar,No,2.420023233694e+00
Ar,Np,3.525652029658e+00
Ar,Pa,3.325883497557e+00
Ar,Pu,3.430200584716e+00
Ar,Rn,3.342062300188e+00
Ar,Sg,3.283602715029e+00
Ar,U,3.643187265048e+00
Ar,Xe,3.465193504613e+00
As,At,2.935193449997e+00
As,Ce,3.139890858400e+00
As,Dy,2.440279365886e+00
As,Er,2.284895123461e+00
As,Gd,2.135856316635e+00
As,Nd,2.468163359844e+00
As,Tb,2.111253598400e+00
At,Au,3.804790075474e+00
At,Ce,8.848366442955e+00
At,Cf,7.546261756424e+00
At,Co,3.700326282017e+00
At,Dy,7.471004894958e+00
At,Er,6.952366013053e+00
At,Es,1.447371403904e+01
At,Eu,6.872166112324e+00
At,F,2.052973407709e+00
At,Fr,3.296108649578e+00
At,Gd,6.450163212431e+00
At,Ho,5.048778117515e+00
At,Ir,6.306912490695e+00
At,La,5.348463615488e+00
At,Lu,5.045142199625e+00
At,Mn,6.935427048555e+00
At,Nb,3.471736019905e+00
At,Nd,8.048412348168e+00
At,Ni,5.054408613022e+00
At,Os,5.861242081279e+00
At,Pd,3.734865317216e+00
At,Pm,8.604749734421e+00
At,Po,5.693264664367e+00
At,Pr,6.860769131721e+00
At,Pt,2.303324955665e+00
At,Re,5.558428036862e+00
At,Rh,4.692036883272e+00
At,Rn,5.062676715927e+00
At,Ru,5.002499803822e+00
At,Sm,6.660972294108e+00
At,Ta,5.101184351637e+00
At,Tb,6.677886164441e+00
At,Tc,4.904983635504e+00
At,Tm,6.866880911098e+00
At,Yb,6.751793824020e+00
At,Zr,4.544198979794e+00
Au,Ca,2.195689867788e+00
Au,Ce,4.069047784984e+00
Au,Dy,3.219929966830e+00
Au,Er,3.053813000617e+00
Au,Eu,2.404388282164e+00
Au,Gd,2.849301282895e+00
Au,Mn,2.343378389027e+00
Au,Nd,3.136124212577e+00
Au,Pr,2.002382115996e+00
Au,Sm,2.420745390656e+00
Au,Tb,2.783875709791e+00
Au,Tm,2.231702205503e+00
B,Be,3.318538216762e+01
B,C,2.228155629143e+00
B,Ca,7.150739086096e+00
B,Cl,2.023971202842e+00
B,Cr,8.223715730969e+00
B,F,3.481530443348e+00
B,Ga,2.792927807085e+00
B,He,9.451439761534e+00
B,Kr,1.997840663359e+01
B,Li,1.479948576013e+01
B,Mg,1.520041778235e+01
B,Na,1.840321293312e+01
B,Ne,4.871456079401e+00
B,O,2.991324076929e+00
B,Xe,2.929618358764e+00
B,Zn,2.737086135351e+00
Ba,Bi,1.845482119629e+01
Ba,Br,4.316860447434e+00
Ba,F,6.539300455965e+00
Ba,In,2.224808356346e+00
Ba,Mo,8.302179621494e+00
Ba,Tm,2.556585135982e+00
Ba,Y,3.162604490063e+00
Be,Ca,4.321566543824e+00
Be,Cr,4.993901292724e+00
Be,He,8.369932038082e+00
Be,Kr,1.398901581263e+01
Be,Li,9.655555671099e+00
Be,Mg,9.976541313418e+00
Be,Na,1.186620047521e+01
Be,Ne,5.283886602790e+00
Be,Xe,2.686558535247e+00
Bh,Db,1.748769918652e+01
Bh,Fm,1.735714507816e+01
Bh,H,2.683785307719e+00
Bh,He,8.856776091847e+00
Bh,Hf,1.638811546635e+01
Bh,Hs,1.778897789813e+01
Bh,Kr,2.707846733949e+00
Bh,Lr,1.673475347309e+01
Bh,Md,1.739229426118e+01
Bh,Ne,4.930855529120e+00
Bh,No,1.740956757398e+01
Bh,Rf,1.716533096510e+01
Bh,Sg,1.788940413533e+01
Bh,W,1.722200894749e+01
Bh,Xe,2.665005784778e+00
Bi,Br,1.321148241922e+01
Bi,F,4.151903262238e+01
Bi,Ge,3.495717565457e+00
Bi,In,3.749873083310e+00
Bi,Mo,6.835032209051e+01
Bi,Tm,1.424035916013e+01
Bi,Y,2.818957209444e+01
Bk,Ca,2.565727844636e+00
Bk,Ce,2.882778158806e+00
Bk,H,2.170181461581e+00
Bk,He,7.576892030686e+00
Bk,Kr,2.665300299858e+00
Bk,Ne,4.579193951036e+00
Bk,Xe,2.924692919520e+00
Br,F,3.589828747989e+00
Br,Mo,3.235886400884e+00
C,Fe,4.319036015518e+00
C,Th,6.128170795371e+00
C,Ti,2.223337899831e+00
C,V,2.622857324922e+00
Ca,Cf,2.215898448038e+00
Ca,Cm,2.669132627625e+00
Ca,Co,2.602337552163e+00
Ca,In,2.045065655245e+00
Ca,Li,3.009528678598e+00
Ca,Nb,2.602465006121e+00
Ca,Np,2.453687139964e+00
Ca,Pa,2.452229688371e+00
Ca,Pd,2.645028108401e+00
Ca,Po,2.429888636815e+00
Ca,Pu,2.542378062050e+00
Ca,Ra,2.084436349205e+00
Ca,Te,2.052266912780e+00
Ca,Tl,2.456842131014e+00
Ca,U,2.556392065235e+00
Cd,He,3.625608042208e+00
Cd,Kr,2.070077708060e+00
Cd,Ne,2.075168773266e+00
Ce,Cf,4.037897910928e+00
Ce,Cm,3.040731914138e+00
Ce,Co,5.236863231086e+00
Ce,Es,4.733519761584e+00
Ce,Fr,2.665451256434e+00
Ce,Ho,2.237430779197e+00
Ce,In,2.576773256596e+00
Ce,Ir,2.543339739031e+00
Ce,Lu,2.807228142444e+00
Ce,Nb,5.190530092359e+00
Ce,Np,3.319675800262e+00
Ce,Os,2.092108043311e+00
Ce,Pa,3.117850914207e+00
Ce,Pb,2.080710048728e+00
Ce,Pd,5.275486021097e+00
Ce,Pm,2.911055033770e+00
Ce,Po,4.626122197907e+00
Ce,Pt,2.276786615607e+00
Ce,Pu,3.193521794122e+00
Ce,Ra,2.652535319706e+00
Ce,Rh,3.534767452639e+00
Ce,Rn,2.236201501796e+00
Ce,Sb,2.830729184099e+00
Ce,Te,2.483006828419e+00
Ce,Tl,3.607030747158e+00
