src,dst,weight
Ar,Mo,2.790110427073e+01
Ba,Bi,1.817339727119e+01
Bh,Db,1.604499370316e+01
Bh,Fm,1.596292775938e+01
Bh,Hf,1.633337828448e+01
Bh,Hs,1.623437665034e+01
Bh,Lr,1.557169415433e+01
Bh,Md,1.598502243655e+01
Bh,No,1.599588039219e+01
Bh,Rf,1.584235394968e+01
Bh,Sg,1.629750429940e+01
Bh,W,1.748810414221e+01
Bi,F,4.235393756469e+01
Bi,Mo,6.820528246736e+01
Bi,Y,2.771127793700e+01
Co,He,2.021877665671e+01
Db,Fm,1.569434405896e+01
Db,Hf,1.618142191615e+01
Db,Hs,1.600846769856e+01
Db,Md,1.571991226218e+01
Db,No,1.573247720777e+01
Db,Sg,1.608151970776e+01
Db,W,1.740636175524e+01
F,Mo,5.616957968524e+01
F,Y,1.907988421396e+01
Fe,Th,3.593583706636e+01
Fm,Hf,1.612498097934e+01
Fm,Hs,1.592455865932e+01
Fm,Md,1.562144276885e+01
Fm,No,1.563464173927e+01
Fm,Sg,1.600129685944e+01
Fm,W,1.737600029722e+01
He,Nb,2.041007096382e+01
He,Pd,2.013899909023e+01
Hf,Hs,1.631167023186e+01
Hf,Lr,1.585590966712e+01
Hf,Md,1.614017661617e+01
Hf,No,1.614764418627e+01
Hf,Rf,1.604205621833e+01
Hf,Sg,1.635508633710e+01
Hf,W,1.630000280545e+01
Hs,Md,1.594714955450e+01
Hs,No,1.595825136585e+01
Hs,Rf,1.580127691706e+01
Hs,Sg,1.626664935774e+01
Hs,W,1.747642665836e+01
K,Y,1.556934196737e+02
Lr,Sg,1.561884985753e+01
Lr,W,1.723125788486e+01
Md,No,1.566098205771e+01
Md,Sg,1.602289531861e+01
Md,W,1.738417453592e+01
Mo,Y,2.099558085894e+01
No,Sg,1.603350941854e+01
No,W,1.738819159036e+01
Rf,Sg,1.588343098229e+01
Rf,W,1.733139230890e+01
Sg,W,1.749978162606e+01
