condition,K,threshold_scheme,tau,num_edges,gcc_fraction,num_components,avg_shortest_path_gcc,global_efficiency,clustering_coeff,modularity,lambda2_unweighted,lambda2_weighted,spectral_gap_unweighted,spectral_gap_weighted,effective_rank_unweighted,effective_rank_weighted
baseline,33,percentile_90,3.885758100145e+00,578,9.259259259259e-01,9.000000000000e+00,2.274141414141e+00,4.250115380178e-01,1.958794308541e-01,1.163041245650e-04,-2.031649435120e-15,3.759352834932e+01,1.754000528835e+00,4.733720924424e+01,3.807163707904e+01,2.656223084837e+01
baseline,34,percentile_90,4.233501437298e+00,578,8.796296296296e-01,1.400000000000e+01,2.249944008959e+00,3.897138571593e-01,2.318822246836e-01,9.997233848433e-04,-3.997374978073e-15,3.861671160916e+01,3.566640156879e+00,5.761793876348e+01,3.991028831859e+01,2.742581560048e+01
baseline,35,percentile_90,4.555171709641e+00,578,8.796296296296e-01,1.400000000000e+01,2.281522956327e+00,3.857332410292e-01,2.531886979487e-01,1.025723106182e-03,-2.552673515991e-15,3.713523101814e+01,5.194677461764e+00,9.975561363281e+01,3.811854794164e+01,2.810595725758e+01
baseline,36,percentile_90,4.946422135096e+00,578,8.888888888889e-01,1.300000000000e+01,2.288157894737e+00,3.925608630437e-01,2.347428845367e-01,-8.604784288462e-05,-4.326622589123e-15,4.366007203986e+01,6.785376440961e+00,1.019891027524e+02,3.838768924863e+01,2.835027504412e+01
baseline,37,percentile_90,4.782119189944e+00,578,9.074074074074e-01,1.100000000000e+01,2.279823269514e+00,4.083650628822e-01,2.179414849944e-01,1.074368898504e-06,-3.014667601924e-15,4.445237080327e+01,3.837969513764e+00,6.574968187249e+01,4.042099938910e+01,2.859471277801e+01
baseline,5,percentile_95,1.125479529746e+00,292,4.074074074074e-01,3.800000000000e+01,1.841437632135e+00,1.230529595016e-01,5.569883191026e-01,1.625093127506e-02,-3.204253581320e-15,2.841302984446e-14,1.363420210715e+00,8.526512829121e-14,2.050744182400e+01,1.419118802032e+01
baseline,6,percentile_95,1.134904468005e+00,292,4.074074074074e-01,3.800000000000e+01,1.841437632135e+00,1.230529595016e-01,5.569883191026e-01,1.631001986278e-02,-3.204253581320e-15,-3.719146626032e-15,1.363420210715e+00,8.526512829121e-14,2.050744182400e+01,1.295014333926e+01
baseline,7,percentile_95,1.303479708505e+00,289,3.796296296296e-01,4.100000000000e+01,1.809756097561e+00,1.118899273105e-01,5.274964505357e-01,1.983676703963e-01,-3.615482898335e-15,7.219112061183e-01,1.733486277783e+00,4.481789298154e-04,2.401472474088e+01,1.656039014089e+01
baseline,8,percentile_95,1.307103160540e+00,289,5.277777777778e-01,3.900000000000e+01,2.812030075188e+00,1.411993769470e-01,5.188461981793e-01,4.245194480209e-04,-3.584085838621e-15,6.926307772796e-01,1.793356651100e+00,3.915678705937e-04,2.399859911945e+01,1.720957975074e+01
baseline,9,percentile_95,1.389352302677e+00,289,3.796296296296e-01,3.300000000000e+01,1.852439024390e+00,1.459991923388e-01,5.309536452419e-01,1.141775942973e-01,-3.286762122953e-15,1.581010899127e+00,2.279039628287e+00,2.352965226066e-03,2.610835578131e+01,1.660950982403e+01
baseline,10,percentile_95,1.356108886575e+00,289,3.796296296296e-01,3.600000000000e+01,1.823170731707e+00,1.288969655013e-01,5.267164834660e-01,7.088581331081e-03,-3.379956889129e-15,1.594527745725e+00,5.681497263533e-02,2.442141725453e-03,2.724197401183e+01,1.662109543390e+01
baseline,11,percentile_95,1.362924850957e+00,289,6.759259259259e-01,3.500000000000e+01,3.871385083714e+00,1.729559165307e-01,5.261730625522e-01,2.569700669447e-03,-4.459118162987e-15,1.642564033838e+00,5.825846290369e-03,2.531636390927e-03,2.762548104113e+01,1.672066141049e+01
baseline,12,percentile_95,1.343959538892e+00,289,6.851851851852e-01,3.400000000000e+01,3.884116993706e+00,1.765348310779e-01,5.261937023173e-01,1.181588427175e-01,-3.818071745475e-15,1.723977105648e+00,2.252913113271e-02,2.756128203600e-03,2.626066211977e+01,1.809610041557e+01
baseline,13,percentile_95,1.348096477512e+00,289,5.277777777778e-01,3.700000000000e+01,2.749373433584e+00,1.437262028384e-01,5.302588352058e-01,1.140899528838e-02,-2.804198552136e-15,1.671779091125e+00,1.585121363689e-01,2.720043175202e-03,2.636124081915e+01,1.835100206576e+01
baseline,14,percentile_95,1.377223017836e+00,289,5.555555555556e-01,3.700000000000e+01,2.841242937853e+00,1.501912014373e-01,5.427793854910e-01,3.441996532394e-03,-3.210334933413e-15,2.249103895219e+00,1.162178274316e+00,6.782787008113e-01,2.526788605179e+01,1.946738992969e+01
baseline,15,percentile_95,1.460438094207e+00,289,5.925925925926e-01,3.300000000000e+01,2.988591269841e+00,1.613818424566e-01,5.689884142552e-01,9.386159595828e-03,-2.652647455721e-15,2.705219421489e+00,6.391525186587e-01,1.108707840281e+01,2.759083019478e+01,1.991187131257e+01
baseline,16,percentile_95,1.483128442181e+00,289,6.203703703704e-01,3.100000000000e+01,2.932609678878e+00,1.755793733208e-01,5.597131488360e-01,5.643184937903e-03,-2.708696830573e-15,3.154443393385e+00,1.955596213141e+00,1.115998640400e+01,2.692834707571e+01,2.160382850462e+01
baseline,17,percentile_95,1.502544830572e+00,289,6.018518518519e-01,3.400000000000e+01,2.969230769231e+00,1.639577049234e-01,5.525991506502e-01,5.045246185283e-04,-3.926419738370e-15,1.609439506597e+00,3.310687149052e+00,1.127151673608e+01,2.896619098957e+01,2.265884238898e+01
baseline,18,percentile_95,1.546500377627e+00,289,6.111111111111e-01,3.300000000000e+01,2.960839160839e+00,1.686104105886e-01,5.520287960826e-01,1.338505733258e-03,-3.584001081043e-15,9.114751384567e-01,3.320679308983e+00,8.742179743975e-01,2.915785986238e+01,2.312535840228e+01
baseline,19,percentile_95,2.291248437076e+00,289,7.777777777778e-01,2.500000000000e+01,3.027251864601e+00,2.436170037416e-01,2.877770325041e-01,3.250947370214e-03,-3.330088024138e-15,7.659498955565e+00,9.629064277750e-01,7.137415090015e+00,3.369698640725e+01,2.228556599842e+01
baseline,20,percentile_95,2.805912552391e+00,289,7.777777777778e-01,2.500000000000e+01,3.047905909352e+00,2.420968699006e-01,3.383929027524e-01,9.512085940240e-05,-3.318343284230e-15,1.182243842625e+01,4.170064477022e+00,5.066284817486e+00,3.579847908815e+01,2.647443608023e+01
baseline,21,percentile_95,2.914467865470e+00,289,8.240740740741e-01,2.000000000000e+01,3.064862104188e+00,2.660769915443e-01,3.649298164115e-01,1.696481844855e-03,-2.229957430205e-15,1.157737593752e+01,3.663407230142e+00,5.271491055747e+00,3.844359363701e+01,2.853317983014e+01
baseline,22,percentile_95,2.956714375182e+00,289,8.333333333333e-01,1.900000000000e+01,3.042197253433e+00,2.729693088727e-01,3.619936099013e-01,4.798912730369e-03,-1.669852027541e-15,1.124943333777e+01,3.286297623884e+00,5.997858605178e+00,3.783333403874e+01,2.943237613506e+01
baseline,23,percentile_95,3.224384399759e+00,289,8.518518518519e-01,1.700000000000e+01,3.263497372193e+00,2.755583576456e-01,4.193073568891e-01,1.077893438729e-03,-1.594406739842e-15,1.143531483464e+01,3.359109317880e+00,6.873170996282e+00,3.930211090828e+01,3.048317194729e+01
baseline,24,percentile_95,3.116360992468e+00,289,8.518518518519e-01,1.700000000000e+01,3.183468705208e+00,2.792175575665e-01,3.721913870947e-01,6.382692170857e-04,-9.476125374271e-16,1.177404646812e+01,3.432803847487e+00,5.442278781298e+00,3.942362212385e+01,2.907811304331e+01
baseline,25,percentile_95,3.374482678591e+00,289,8.240740740741e-01,2.000000000000e+01,2.942032686415e+00,2.721703011423e-01,2.334434396665e-01,6.704818985156e-05,-4.437669048302e-15,1.496809328374e+01,5.056408209724e+00,8.072107402579e+00,3.763944908259e+01,2.748319291838e+01
baseline,26,percentile_95,3.637909601436e+00,289,7.962962962963e-01,2.300000000000e+01,2.990971272230e+00,2.558930425753e-01,2.093052147030e-01,-1.121333554554e-04,-3.132330306198e-15,1.496673820805e+01,5.125443275614e+00,1.008299438787e+01,3.216991813470e+01,2.645531667034e+01
baseline,27,percentile_95,3.952031385898e+00,289,7.870370370370e-01,2.400000000000e+01,2.983193277311e+00,2.505276582769e-01,1.904410639075e-01,-2.532348059879e-04,-3.306744633789e-15,1.589149009052e+01,4.376487361150e+00,1.303771270509e+01,2.897636309565e+01,2.560209500339e+01
baseline,28,percentile_95,4.183269894618e+00,289,7.962962962963e-01,2.300000000000e+01,2.778112175103e+00,2.672176070151e-01,1.953196599847e-01,9.895861999949e-04,-2.828618577900e-15,2.291698505323e+01,3.844753446607e+00,1.122394659377e+01,3.038845438516e+01,2.523319267236e+01
baseline,29,percentile_95,5.041840588530e+00,289,7.592592592593e-01,2.700000000000e+01,2.530864197531e+00,2.584717895466e-01,1.726448850395e-01,-2.191102953753e-05,-2.643157935720e-15,2.883465250650e+01,2.870888499258e+00,1.765236592078e+01,3.028214313293e+01,2.497790947504e+01
baseline,30,percentile_95,5.825726370998e+00,289,7.222222222222e-01,3.100000000000e+01,2.430569430569e+00,2.428781585324e-01,1.519529386082e-01,4.817899475268e-03,-2.759151394827e-15,3.414091937583e+01,1.965014880309e+00,3.239248649551e+01,3.089933914222e+01,2.436389741390e+01
