K,scheme,tau,num_edges,num_nodes
33,fixed_density,6.072146639513e+00,289,108
34,percentile_90,4.233501437298e+00,578,108
34,percentile_95,6.086107386763e+00,289,108
34,percentile_97,7.975366623188e+00,174,108
34,percentile_99,1.586609898350e+01,58,108
34,fixed_density,6.089147685045e+00,289,108
35,percentile_90,4.555171709641e+00,578,108
35,percentile_95,7.887224448856e+00,289,108
35,percentile_97,9.969548018416e+00,174,108
35,percentile_99,1.493001414141e+01,58,108
35,fixed_density,7.897420601283e+00,289,108
36,percentile_90,4.946422135096e+00,578,108
36,percentile_95,7.909948559947e+00,289,108
36,percentile_97,9.636866961157e+00,174,108
36,percentile_99,1.756310351205e+01,58,108
36,fixed_density,7.912912440087e+00,289,108
37,percentile_90,4.782119189944e+00,578,108
37,percentile_95,6.903064875286e+00,289,108
37,percentile_97,8.882983613249e+00,174,108
37,percentile_99,1.554525029281e+01,58,108
37,fixed_density,6.908388254859e+00,289,108
