src,dst,weight
Am,At,8.994984178472e+00
Am,He,5.498733462555e+00
Ar,Bi,8.859095939508e+00
Ar,H,6.290651389119e+00
Ar,He,1.052538189994e+01
Ar,Kr,5.195734726116e+00
Ar,Mo,2.487365693724e+01
Ar,Ne,9.986319238320e+00
At,Ce,8.848366442955e+00
At,Cf,7.546261756424e+00
At,Dy,7.471004894958e+00
At,Er,6.952366013053e+00
At,Es,1.447371403904e+01
At,Eu,6.872166112324e+00
At,Gd,6.450163212431e+00
At,Ho,5.048778117515e+00
At,Ir,6.306912490695e+00
At,La,5.348463615488e+00
At,Lu,5.045142199625e+00
At,Mn,6.935427048555e+00
At,Nd,8.048412348168e+00
At,Ni,5.054408613022e+00
At,Os,5.861242081279e+00
At,Pm,8.604749734421e+00
At,Po,5.693264664367e+00
At,Pr,6.860769131721e+00
At,Re,5.558428036862e+00
At,Rh,4.692036883272e+00
At,Rn,5.062676715927e+00
At,Ru,5.002499803822e+00
At,Sm,6.660972294108e+00
At,Ta,5.101184351637e+00
At,Tb,6.677886164441e+00
At,Tc,4.904983635504e+00
At,Tm,6.866880911098e+00
At,Yb,6.751793824020e+00
B,Be,3.318538216762e+01
B,Ca,7.150739086096e+00
B,Cr,8.223715730969e+00
B,He,9.451439761534e+00
B,Kr,1.997840663359e+01
B,Li,1.479948576013e+01
B,Mg,1.520041778235e+01
B,Na,1.840321293312e+01
B,Ne,4.871456079401e+00
Ba,Bi,1.845482119629e+01
Ba,F,6.539300455965e+00
Ba,Mo,8.302179621494e+00
Be,Cr,4.993901292724e+00
Be,He,8.369932038082e+00
Be,Kr,1.398901581263e+01
Be,Li,9.655555671099e+00
Be,Mg,9.976541313418e+00
Be,Na,1.186620047521e+01
Be,Ne,5.283886602790e+00
Bh,Db,1.748769918652e+01
Bh,Fm,1.735714507816e+01
Bh,He,8.856776091847e+00
Bh,Hf,1.638811546635e+01
Bh,Hs,1.778897789813e+01
Bh,Lr,1.673475347309e+01
Bh,Md,1.739229426118e+01
Bh,Ne,4.930855529120e+00
Bh,No,1.740956757398e+01
Bh,Rf,1.716533096510e+01
Bh,Sg,1.788940413533e+01
Bh,W,1.722200894749e+01
Bi,Br,1.321148241922e+01
Bi,F,4.151903262238e+01
Bi,Mo,6.835032209051e+01
Bi,Tm,1.424035916013e+01
Bi,Y,2.818957209444e+01
Bk,He,7.576892030686e+00
C,Th,6.128170795371e+00
Ce,Co,5.236863231086e+00
Ce,Es,4.733519761584e+00
Ce,Nb,5.190530092359e+00
Ce,Pd,5.275486021097e+00
Ce,Po,4.626122197907e+00
Cf,He,6.315584229141e+00
Cm,He,7.210864487937e+00
Cr,Fe,8.729410096842e+00
Cr,Th,1.351410103812e+01
Db,Fm,1.708899501799e+01
Db,He,7.628880287304e+00
Db,Hf,1.655021496683e+01
Db,Hs,1.744616750230e+01
Db,Lr,1.657420979206e+01
Db,Md,1.711806719694e+01
Db,No,1.713235409632e+01
Db,Rf,1.693034398426e+01
Db,Sg,1.752923087074e+01
Db,W,1.738960767612e+01
Es,He,5.469202517169e+00
F,Mo,5.280658856929e+01
F,Tm,7.572811588797e+00
F,Y,1.362336306972e+01
Fe,Th,3.688800276562e+01
Fe,Ti,9.462126912134e+00
Fe,V,8.744011722630e+00
Fm,He,7.172804702765e+00
