src,dst,weight
Ac,Ce,3.921882436296e+00
Ac,Dy,2.968017300659e+00
Ag,He,3.725384843216e+00
Am,Ar,2.965339529405e+00
Am,At,8.994984178472e+00
Am,Ce,4.428990999432e+00
Am,Dy,3.520220368684e+00
Am,Er,3.337220458486e+00
Am,He,5.498733462555e+00
Am,Mn,3.065110115732e+00
Am,Nd,3.306605196836e+00
Am,Ne,3.125076135670e+00
Ar,Bh,3.193232321419e+00
Ar,Bi,8.859095939508e+00
Ar,Bk,3.629766087293e+00
Ar,Cf,3.301387129042e+00
Ar,Cm,3.488757021562e+00
Ar,Es,2.971672874828e+00
Ar,F,2.988179021289e+00
Ar,H,6.290651389119e+00
Ar,He,1.052538189994e+01
Ar,Hs,3.102861927809e+00
Ar,Kr,5.195734726116e+00
Ar,Mo,2.487365693724e+01
Ar,Ne,9.986319238320e+00
Ar,Np,3.525652029658e+00
Ar,Pa,3.325883497557e+00
Ar,Pu,3.430200584716e+00
Ar,Rn,3.342062300188e+00
Ar,Sg,3.283602715029e+00
Ar,U,3.643187265048e+00
Ar,Xe,3.465193504613e+00
As,Ce,3.139890858400e+00
At,Au,3.804790075474e+00
At,Ce,8.848366442955e+00
At,Cf,7.546261756424e+00
At,Co,3.700326282017e+00
At,Dy,7.471004894958e+00
At,Er,6.952366013053e+00
At,Es,1.447371403904e+01
At,Eu,6.872166112324e+00
At,Fr,3.296108649578e+00
At,Gd,6.450163212431e+00
At,Ho,5.048778117515e+00
At,Ir,6.306912490695e+00
At,La,5.348463615488e+00
At,Lu,5.045142199625e+00
At,Mn,6.935427048555e+00
At,Nb,3.471736019905e+00
At,Nd,8.048412348168e+00
At,Ni,5.054408613022e+00
At,Os,5.861242081279e+00
At,Pd,3.734865317216e+00
At,Pm,8.604749734421e+00
At,Po,5.693264664367e+00
At,Pr,6.860769131721e+00
At,Re,5.558428036862e+00
At,Rh,4.692036883272e+00
At,Rn,5.062676715927e+00
At,Ru,5.002499803822e+00
At,Sm,6.660972294108e+00
At,Ta,5.101184351637e+00
At,Tb,6.677886164441e+00
At,Tc,4.904983635504e+00
At,Tm,6.866880911098e+00
At,Yb,6.751793824020e+00
At,Zr,4.544198979794e+00
Au,Ce,4.069047784984e+00
Au,Dy,3.219929966830e+00
Au,Er,3.053813000617e+00
Au,Nd,3.136124212577e+00
B,Be,3.318538216762e+01
B,Ca,7.150739086096e+00
B,Cr,8.223715730969e+00
B,F,3.481530443348e+00
B,He,9.451439761534e+00
B,Kr,1.997840663359e+01
B,Li,1.479948576013e+01
B,Mg,1.520041778235e+01
B,Na,1.840321293312e+01
B,Ne,4.871456079401e+00
B,O,2.991324076929e+00
Ba,Bi,1.845482119629e+01
Ba,Br,4.316860447434e+00
Ba,F,6.539300455965e+00
Ba,Mo,8.302179621494e+00
Ba,Y,3.162604490063e+00
Be,Ca,4.321566543824e+00
Be,Cr,4.993901292724e+00
Be,He,8.369932038082e+00
Be,Kr,1.398901581263e+01
Be,Li,9.655555671099e+00
Be,Mg,9.976541313418e+00
Be,Na,1.186620047521e+01
Be,Ne,5.283886602790e+00
Bh,Db,1.748769918652e+01
Bh,Fm,1.735714507816e+01
Bh,He,8.856776091847e+00
Bh,Hf,1.638811546635e+01
Bh,Hs,1.778897789813e+01
Bh,Lr,1.673475347309e+01
Bh,Md,1.739229426118e+01
Bh,Ne,4.930855529120e+00
Bh,No,1.740956757398e+01
Bh,Rf,1.716533096510e+01
Bh,Sg,1.788940413533e+01
Bh,W,1.722200894749e+01
Bi,Br,1.321148241922e+01
Bi,F,4.151903262238e+01
Bi,Ge,3.495717565457e+00
Bi,In,3.749873083310e+00
Bi,Mo,6.835032209051e+01
Bi,Tm,1.424035916013e+01
Bi,Y,2.818957209444e+01
Bk,He,7.576892030686e+00
Bk,Ne,4.579193951036e+00
Br,F,3.589828747989e+00
Br,Mo,3.235886400884e+00
C,Fe,4.319036015518e+00
C,Th,6.128170795371e+00
Ca,Li,3.009528678598e+00
Cd,He,3.625608042208e+00
Ce,Cf,4.037897910928e+00
Ce,Cm,3.040731914138e+00
Ce,Co,5.236863231086e+00
Ce,Es,4.733519761584e+00
Ce,Nb,5.190530092359e+00
Ce,Np,3.319675800262e+00
Ce,Pa,3.117850914207e+00
Ce,Pd,5.275486021097e+00
Ce,Po,4.626122197907e+00
Ce,Pu,3.193521794122e+00
Ce,Rh,3.534767452639e+00
Ce,Tl,3.607030747158e+00
Cf,Dy,3.085955068134e+00
Cf,He,6.315584229141e+00
Cf,Ne,3.716947971390e+00
Cm,He,7.210864487937e+00
Cm,Ne,4.341061249834e+00
Co,Dy,4.121549513315e+00
Co,Er,3.903092490187e+00
Co,Eu,3.016795171022e+00
Co,Gd,3.681995681119e+00
Co,Nd,4.027145338376e+00
Co,Sm,3.111141316737e+00
Co,Tb,3.589096355612e+00
Co,Tm,2.964557391783e+00
Cr,Fe,8.729410096842e+00
Cr,Li,2.994622998047e+00
Cr,Th,1.351410103812e+01
Cr,Ti,3.170757863991e+00
Db,Fm,1.708899501799e+01
Db,He,7.628880287304e+00
Db,Hf,1.655021496683e+01
Db,Hs,1.744616750230e+01
Db,Lr,1.657420979206e+01
Db,Md,1.711806719694e+01
Db,Ne,3.934658362898e+00
Db,No,1.713235409632e+01
Db,Rf,1.693034398426e+01
Db,Sg,1.752923087074e+01
Db,W,1.738960767612e+01
Dy,Es,3.621042763246e+00
Dy,Nb,4.105343042595e+00
Dy,Pd,4.175054013378e+00
Dy,Po,3.629134819286e+00
Dy,Rh,3.023015626318e+00
Er,Es,3.317593400224e+00
Er,Nb,3.901789643577e+00
Er,Pd,3.965080760676e+00
Er,Po,3.416545061610e+00
Es,Eu,3.060443558291e+00
Es,He,5.469202517169e+00
Es,Mn,3.237566718734e+00
Es,Nd,3.723421286384e+00
Es,Ne,3.020273818969e+00
Eu,Nb,3.014538570933e+00
Eu,Pd,3.064968666197e+00
F,Mo,5.280658856929e+01
F,Tm,7.572811588797e+00
F,Y,1.362336306972e+01
Fe,I,4.290962674621e+00
Fe,Nb,2.980433013001e+00
Fe,Sc,4.263844836674e+00
Fe,Th,3.688800276562e+01
Fe,Ti,9.462126912134e+00
Fe,V,8.744011722630e+00
Fm,He,7.172804702765e+00
Fm,Hf,1.661042335272e+01
Fm,Hs,1.731883792670e+01
Fm,Lr,1.651457928196e+01
Fm,Md,1.701621143023e+01
Fm,Ne,3.564642272592e+00
Fm,No,1.702938909033e+01
Fm,Rf,1.684306310567e+01
Fm,Sg,1.739545222961e+01
Fm,W,1.745185863247e+01
Gd,Nb,3.692106952540e+00
Gd,Pd,3.735556137140e+00
Gd,Po,3.187293614522e+00
H,He,1.326841936098e+01
H,Kr,5.692349969744e+00
H,Ne,9.674200830460e+00
H,Xe,5.216103921132e+00
He,Hg,3.813937241843e+00
He,Hs,8.681362405484e+00
He,Kr,1.298832143704e+01
He,Li,3.959483890175e+00
He,Lr,4.998552060296e+00
He,Md,7.295594283216e+00
He,Mg,3.787612101577e+00
He,Ne,2.146075273220e+01
He,No,7.355936591327e+00
He,Np,7.140929763504e+00
He,Pa,6.890253965113e+00
He,Pu,7.051259711046e+00
He,Rf,6.502724420857e+00
He,Rn,6.532896721191e+00
He,Sg,9.032189778210e+00
He,U,7.749162652186e+00
He,Xe,8.364583614525e+00
Hf,Hs,1.641127253785e+01
Hf,Lr,1.689745525392e+01
Hf,Md,1.659421340267e+01
Hf,No,1.658624737008e+01
Hf,Rf,1.669888336584e+01
Hf,Sg,1.636495839485e+01
Hf,W,1.719878278859e+01
Hg,Ne,3.247887835874e+00
Hs,Lr,1.671181866151e+01
Hs,Md,1.735311896629e+01
Hs,Ne,4.788541648231e+00
Hs,No,1.736996564860e+01
Hs,Rf,1.713176139641e+01
Hs,Sg,1.783795081182e+01
Hs,W,1.724595162301e+01
I,Th,5.124113861520e+00
K,Y,1.557829473300e+02
Kr,Li,6.470817745897e+00
Kr,Mg,6.414665549845e+00
Kr,Na,6.767508344247e+00
Kr,Ne,1.143915156007e+01
Kr,Xe,4.745276165548e+00
Li,Mg,5.164022610300e+00
Li,Na,6.128063834980e+00
Lr,Md,1.653063365006e+01
Lr,No,1.653852322525e+01
Lr,Rf,1.642696830174e+01
Lr,Sg,1.675768828467e+01
Lr,W,1.774862809554e+01
Md,Ne,3.664261989212e+00
Md,No,1.705711043810e+01
Md,Rf,1.686656180375e+01
Md,Sg,1.743146955607e+01
Md,W,1.743509875961e+01
Mg,Na,5.744955444553e+00
Mo,Tm,1.475675475412e+01
Mo,Y,2.219648883364e+01
Nb,Nd,3.958601287157e+00
Nb,Sm,3.095910473360e+00
Nb,Tb,3.576876185405e+00
Nb,Tm,2.988124120699e+00
Nd,Pd,4.063109207307e+00
Nd,Po,3.586240216493e+00
Ne,No,3.713217964239e+00
Ne,Np,4.298135504642e+00
Ne,Pa,4.021164861701e+00
Ne,Pu,4.205761864369e+00
Ne,Rf,3.021003247597e+00
Ne,Rn,4.470758837084e+00
Ne,Sg,5.073169410009e+00
Ne,U,4.681259894849e+00
