src,dst,weight
Ac,Ca,2.472590142304e+00
Ac,Ce,3.867590390431e+00
Ac,Dy,2.913189236752e+00
Ac,Er,2.711750932853e+00
Ac,Eu,2.002322170444e+00
Ac,Gd,2.555805557495e+00
Ac,Ge,2.292126765299e+00
Ac,Nd,2.891826194337e+00
Ac,O,2.006042367868e+00
Ac,Sm,2.051886150205e+00
Ac,Tb,2.472940308804e+00
Ag,Ca,2.188278024861e+00
Ag,He,3.856003764826e+00
Ag,Kr,2.019975955291e+00
Ag,Ne,2.137833539299e+00
Am,Ar,3.002319917201e+00
Am,At,8.892242616793e+00
Am,Ca,2.382345463703e+00
Am,Ce,4.343534739988e+00
Am,Dy,3.433920411122e+00
Am,Er,3.251494031024e+00
Am,Es,2.711062408309e+00
Am,Eu,2.840674892801e+00
Am,Gd,2.739337763059e+00
Am,He,5.803493657720e+00
Am,Mn,2.990049724191e+00
Am,Nd,3.219886290528e+00
Am,Ne,3.303869894893e+00
Am,Sm,2.242629580895e+00
Am,Tb,2.681543593634e+00
Am,Tm,2.592687181378e+00
Ar,Bh,3.230212709214e+00
Ar,Bi,8.869440175238e+00
Ar,Bk,3.666746475088e+00
Ar,Cf,3.338367516838e+00
Ar,Cm,3.525737409358e+00
Ar,Db,2.597619953944e+00
Ar,Es,3.008653262623e+00
Ar,F,2.939781932085e+00
Ar,Fm,2.362656930560e+00
Ar,H,6.318648373086e+00
Ar,He,1.044542702161e+01
Ar,Hs,3.139842315604e+00
Ar,Kr,5.008994309346e+00
Ar,Md,2.425916206086e+00
Ar,Mo,2.489402607092e+01
Ar,Ne,9.939412084790e+00
Ar,No,2.457003621489e+00
Ar,Np,3.562632417453e+00
Ar,Pa,3.362863885352e+00
Ar,Pu,3.467180972511e+00
Ar,Rf,2.017442026971e+00
Ar,Rn,3.368416971059e+00
Ar,Sg,3.320583102824e+00
Ar,U,3.680167652843e+00
Ar,Xe,3.448009949205e+00
As,At,2.906530174639e+00
As,Ce,3.116049909756e+00
As,Dy,2.416203038774e+00
As,Er,2.260978802201e+00
As,Gd,2.113737532845e+00
As,Nd,2.443970152639e+00
As,Tb,2.088306746374e+00
At,Au,3.761439052734e+00
At,Ce,8.786078311272e+00
At,Cf,7.443520194745e+00
At,Co,3.597584720337e+00
At,Dy,7.408101800957e+00
At,Er,6.889880958860e+00
At,Es,1.437097247736e+01
At,Eu,6.806879804839e+00
At,F,2.187433666837e+00
At,Fr,3.212128232345e+00
At,Gd,6.392374500330e+00
At,Ho,4.985310465107e+00
At,Ir,6.267421735890e+00
At,La,5.292437570298e+00
At,Lu,4.982189509085e+00
At,Mn,6.880716351142e+00
At,Nb,3.368994458225e+00
At,Nd,7.985203887013e+00
At,Ni,5.008650195664e+00
At,Os,5.817955208725e+00
At,Pd,3.632123755537e+00
At,Pm,8.542255735411e+00
At,Po,5.645484184043e+00
At,Pr,6.796933837956e+00
At,Pt,2.265648290139e+00
At,Re,5.503337673971e+00
At,Rh,4.642662146543e+00
At,Rn,4.989456281955e+00
At,Ru,4.952711486495e+00
At,Sm,6.599848589739e+00
At,Ta,5.052855494951e+00
At,Tb,6.617933997183e+00
At,Tc,4.858870138854e+00
At,Tm,6.814578539468e+00
At,Yb,6.699025418955e+00
At,Zr,4.489642577063e+00
Au,Ca,2.275516564033e+00
Au,Ce,4.032990164428e+00
Au,Dy,3.183516354252e+00
Au,Er,3.017641384714e+00
Au,Eu,2.366595064753e+00
Au,Gd,2.815848305624e+00
Au,Mn,2.311707226088e+00
Au,Nd,3.099533827752e+00
Au,Pr,1.965428867623e+00
Au,Sm,2.385361838772e+00
Au,Tb,2.749170342330e+00
Au,Tm,2.201425184512e+00
B,Be,1.657367783853e+01
B,Ca,4.600304666262e+00
B,Cr,4.918159979957e+00
B,He,5.342995179096e+00
B,Kr,1.038283636142e+01
B,Li,7.785397867422e+00
B,Mg,8.117252362778e+00
B,Na,9.871845686700e+00
B,Ne,2.461153608446e+00
B,O,2.363842094583e+00
B,Xe,2.046649281696e+00
B,Zn,2.006552419814e+00
Ba,Bi,1.842692025925e+01
Ba,Br,4.298060200682e+00
Ba,F,6.669839257864e+00
Ba,In,2.200606902493e+00
Ba,Mo,8.247239079622e+00
Ba,Tm,2.505808133368e+00
Ba,Y,3.106799239372e+00
Be,Ca,2.667681821405e+00
Be,Cr,2.850341704135e+00
Be,He,5.705721707891e+00
Be,Kr,7.766559374372e+00
Be,Li,5.107117680596e+00
Be,Mg,5.383308496806e+00
Be,Na,6.333849656667e+00
Be,Ne,3.720873493290e+00
Be,Xe,2.113978015013e+00
Bh,Db,1.734674280665e+01
Bh,Fm,1.721618869829e+01
Bh,H,2.577070539635e+00
Bh,He,9.161536287012e+00
Bh,Hf,1.631678983997e+01
Bh,Hs,1.764802151826e+01
Bh,Kr,3.419636271374e+00
Bh,Lr,1.659379709322e+01
Bh,Md,1.725133788131e+01
Bh,Ne,5.109649288344e+00
Bh,No,1.726861119411e+01
Bh,Rf,1.702437458523e+01
Bh,Sg,1.774844775547e+01
Bh,W,1.715830576789e+01
Bh,Xe,2.730503523120e+00
Bi,Br,1.320405080095e+01
Bi,F,4.157063378257e+01
Bi,Ge,3.478967613227e+00
Bi,In,3.740306402147e+00
Bi,Mo,6.832860444288e+01
Bi,Tm,1.422028733314e+01
Bi,Y,2.816751263289e+01
Bk,Ca,2.754916447756e+00
Bk,Ce,2.797321899362e+00
