src,dst,weight
Ar,Mo,2.584484963287e+01
Ba,Bi,1.825807559747e+01
Bh,Db,1.552936495358e+01
Bh,Fm,1.552936495358e+01
Bh,Hf,1.718562453630e+01
Bh,Hs,1.552936495358e+01
Bh,Lr,1.552936495358e+01
Bh,Md,1.552936495358e+01
Bh,No,1.552936495358e+01
Bh,Rf,1.552936495358e+01
Bh,Sg,1.552936495358e+01
Bh,W,1.806629428420e+01
Bi,F,4.140091717919e+01
Bi,Mo,6.818770015571e+01
Bi,Y,2.790697780745e+01
Db,Fm,1.552936495358e+01
Db,Hf,1.718562453630e+01
Db,Hs,1.552936495358e+01
Db,Lr,1.552936495358e+01
Db,Md,1.552936495358e+01
Db,No,1.552936495358e+01
Db,Rf,1.552936495358e+01
Db,Sg,1.552936495358e+01
Db,W,1.806629428420e+01
F,Mo,5.276526502353e+01
Fe,Th,3.634616532491e+01
Fm,Hf,1.718562453630e+01
Fm,Hs,1.552936495358e+01
Fm,Lr,1.552936495358e+01
Fm,Md,1.552936495358e+01
Fm,No,1.552936495358e+01
Fm,Rf,1.552936495358e+01
Fm,Sg,1.552936495358e+01
Fm,W,1.806629428420e+01
Hf,Hs,1.718562453630e+01
Hf,Lr,1.718562453630e+01
Hf,Md,1.718562453630e+01
Hf,No,1.718562453630e+01
Hf,Rf,1.718562453630e+01
Hf,Sg,1.718562453630e+01
Hf,W,1.668842373272e+01
Hs,Lr,1.552936495358e+01
Hs,Md,1.552936495358e+01
Hs,No,1.552936495358e+01
Hs,Rf,1.552936495358e+01
Hs,Sg,1.552936495358e+01
Hs,W,1.806629428420e+01
K,Y,1.557675739140e+02
Lr,Md,1.552936495358e+01
Lr,No,1.552936495358e+01
Lr,Rf,1.552936495358e+01
Lr,Sg,1.552936495358e+01
Lr,W,1.806629428420e+01
Md,No,1.552936495358e+01
Md,Rf,1.552936495358e+01
Md,Sg,1.552936495358e+01
Md,W,1.806629428420e+01
Mo,Y,2.184856327325e+01
No,Rf,1.552936495358e+01
No,Sg,1.552936495358e+01
No,W,1.806629428420e+01
Rf,Sg,1.552936495358e+01
Rf,W,1.806629428420e+01
Sg,W,1.806629428420e+01
