n_bands,best_k,mean_top10_anova_block,mean_top10_anova_period,periodicity_strength,silhouette_best,Z_R2,p_block,p_period,p_periodicity,p_silhouette,p_Z_R2,n_perm
37,3,6.677231024753e+00,2.736796584695e+01,1.348180792927e+07,7.284358968084e-01,6.931685817853e-01,4.975124378109e-03,4.975124378109e-03,2.288557213930e-01,4.761904761905e-02,4.975124378109e-03,200
38,2,6.790695099463e+00,2.213332720681e+01,1.635281753800e+07,7.460141425323e-01,6.856851926634e-01,4.975124378109e-03,4.975124378109e-03,1.243781094527e-01,4.761904761905e-02,4.975124378109e-03,200
39,2,6.368099301784e+00,2.196607834380e+01,1.580518439161e+07,7.412349171000e-01,6.705702025840e-01,4.975124378109e-03,4.975124378109e-03,1.393034825871e-01,4.761904761905e-02,4.975124378109e-03,200
40,2,6.164788082349e+00,2.192009226029e+01,1.224950509886e+07,7.375364774523e-01,6.881952946962e-01,4.975124378109e-03,4.975124378109e-03,2.537313432836e-01,4.761904761905e-02,4.975124378109e-03,200
41,2,7.052449279058e+00,2.218918106164e+01,1.190617493146e+07,7.310909736713e-01,7.007992996518e-01,4.975124378109e-03,4.975124378109e-03,2.288557213930e-01,4.761904761905e-02,4.975124378109e-03,200
42,2,7.184555489229e+00,2.612939104226e+01,1.318360716380e+07,7.323914494556e-01,6.925843839963e-01,4.975124378109e-03,4.975124378109e-03,1.094527363184e-01,4.761904761905e-02,4.975124378109e-03,200
43,2,7.084975158249e+00,2.564883944021e+01,1.296260555124e+07,7.338138547019e-01,7.240457427707e-01,4.975124378109e-03,4.975124378109e-03,9.950248756219e-02,4.761904761905e-02,4.975124378109e-03,200
44,2,6.818941650553e+00,2.247033896621e+01,1.108036657738e+07,7.306755128007e-01,7.284492429604e-01,4.975124378109e-03,4.975124378109e-03,2.238805970149e-01,4.761904761905e-02,4.975124378109e-03,200
45,2,6.611265137661e+00,2.276467826672e+01,1.083314130831e+07,7.245303604661e-01,7.150777481420e-01,4.975124378109e-03,4.975124378109e-03,2.636815920398e-01,4.761904761905e-02,4.975124378109e-03,200
46,2,6.834531999990e+00,2.808483836310e+01,1.117944162173e+07,7.256890039161e-01,7.068459252885e-01,4.975124378109e-03,4.975124378109e-03,1.243781094527e-01,4.761904761905e-02,4.975124378109e-03,200
47,2,6.569655905713e+00,2.806509958865e+01,1.084256547543e+07,7.219235682086e-01,7.055165708638e-01,4.975124378109e-03,4.975124378109e-03,7.462686567164e-02,4.761904761905e-02,4.975124378109e-03,200
48,2,6.285244782148e+00,2.456062668499e+01,9.665847570341e+06,7.386343061854e-01,7.061832298615e-01,4.975124378109e-03,4.975124378109e-03,3.482587064677e-01,4.761904761905e-02,4.975124378109e-03,200
49,2,6.909347027921e+00,2.456062668499e+01,9.502879898247e+06,7.351452847394e-01,7.001355024420e-01,4.975124378109e-03,4.975124378109e-03,2.935323383085e-01,4.761904761905e-02,4.975124378109e-03,200
50,2,7.121514350730e+00,2.396431413682e+01,9.384408886957e+06,7.330986720920e-01,7.129523382364e-01,4.975124378109e-03,4.975124378109e-03,8.457711442786e-02,4.761904761905e-02,4.975124378109e-03,200
51,2,6.702341911414e+00,2.396431413682e+01,9.224615552433e+06,7.276909997870e-01,7.271527063885e-01,4.975124378109e-03,4.975124378109e-03,8.955223880597e-02,4.761904761905e-02,4.975124378109e-03,200
52,2,6.908692961103e+00,2.814686413201e+01,8.652131201539e+06,7.297811481272e-01,7.229624002733e-01,4.975124378109e-03,4.975124378109e-03,2.139303482587e-01,4.761904761905e-02,4.975124378109e-03,200
53,2,6.942038518845e+00,2.814686413201e+01,8.422370264609e+06,7.264867782967e-01,7.063987834833e-01,4.975124378109e-03,4.975124378109e-03,1.592039800995e-01,4.761904761905e-02,4.975124378109e-03,200
54,2,6.641786431375e+00,2.504032294445e+01,7.916783978487e+06,7.237822466642e-01,6.990428108720e-01,4.975124378109e-03,4.975124378109e-03,1.144278606965e-01,4.761904761905e-02,4.975124378109e-03,200
55,2,6.846367825141e+00,2.504032294445e+01,7.742347310292e+06,7.210084597705e-01,7.137051758664e-01,4.975124378109e-03,4.975124378109e-03,7.960199004975e-02,4.761904761905e-02,4.975124378109e-03,200
56,2,7.003461085896e+00,2.724887341543e+01,7.758328835964e+06,7.255358811491e-01,7.182836386767e-01,4.975124378109e-03,4.975124378109e-03,2.288557213930e-01,4.761904761905e-02,4.975124378109e-03,200
57,2,6.613659689129e+00,2.724887341543e+01,7.693149567531e+06,7.263422819582e-01,7.180120437025e-01,4.975124378109e-03,4.975124378109e-03,2.288557213930e-01,4.761904761905e-02,4.975124378109e-03,200
58,2,6.452591145925e+00,2.806439863168e+01,7.022975075785e+06,7.377094801667e-01,7.199862853703e-01,4.975124378109e-03,9.950248756219e-03,9.452736318408e-02,4.761904761905e-02,4.975124378109e-03,200
59,2,6.865571792688e+00,2.806439863168e+01,6.854001813184e+06,7.339439041172e-01,7.270559703224e-01,4.975124378109e-03,4.975124378109e-03,1.094527363184e-01,4.761904761905e-02,4.975124378109e-03,200
60,2,6.941276311712e+00,2.830429125940e+01,7.057744259417e+06,7.325520579172e-01,7.288070046687e-01,4.975124378109e-03,4.975124378109e-03,1.890547263682e-01,4.761904761905e-02,4.975124378109e-03,200
61,2,7.186725976666e+00,2.830429125940e+01,6.929795072270e+06,7.280567144542e-01,7.249187543949e-01,4.975124378109e-03,4.975124378109e-03,1.592039800995e-01,4.761904761905e-02,4.975124378109e-03,200
