n_bands,metric,is_strict_local_max,is_plateau,plateau_span,eps
36,mean_top10_anova_period,False,False,1,0.6150776444167938
37,mean_top10_anova_period,True,False,1,0.6150776444167938
38,mean_top10_anova_period,False,False,1,0.6150776444167938
39,mean_top10_anova_period,False,True,4,0.6150776444167938
40,mean_top10_anova_period,False,True,4,0.6150776444167938
41,mean_top10_anova_period,False,False,1,0.6150776444167938
42,mean_top10_anova_period,True,False,1,0.6150776444167938
43,mean_top10_anova_period,False,False,1,0.6150776444167938
44,mean_top10_anova_period,False,False,1,0.6150776444167938
45,mean_top10_anova_period,False,False,1,0.6150776444167938
46,mean_top10_anova_period,True,False,1,0.6150776444167938
47,mean_top10_anova_period,False,False,1,0.6150776444167938
48,mean_top10_anova_period,False,False,1,0.6150776444167938
49,mean_top10_anova_period,False,True,4,0.6150776444167938
50,mean_top10_anova_period,False,True,4,0.6150776444167938
51,mean_top10_anova_period,False,False,1,0.6150776444167938
52,mean_top10_anova_period,False,False,1,0.6150776444167938
53,mean_top10_anova_period,False,False,1,0.6150776444167938
54,mean_top10_anova_period,False,False,1,0.6150776444167938
55,mean_top10_anova_period,False,False,1,0.6150776444167938
56,mean_top10_anova_period,False,False,1,0.6150776444167938
57,mean_top10_anova_period,False,False,1,0.6150776444167938
58,mean_top10_anova_period,False,False,1,0.6150776444167938
59,mean_top10_anova_period,False,True,4,0.6150776444167938
60,mean_top10_anova_period,False,True,4,0.6150776444167938
61,mean_top10_anova_period,False,False,1,0.6150776444167938
62,mean_top10_anova_period,False,False,1,0.6150776444167938
63,mean_top10_anova_period,False,False,1,0.6150776444167938
64,mean_top10_anova_period,False,False,1,0.6150776444167938
65,mean_top10_anova_period,False,False,1,0.6150776444167938
66,mean_top10_anova_period,False,False,1,0.6150776444167938
67,mean_top10_anova_period,False,False,1,0.6150776444167938
68,mean_top10_anova_period,False,False,1,0.6150776444167938
69,mean_top10_anova_period,False,False,1,0.6150776444167938
70,mean_top10_anova_period,False,False,1,0.6150776444167938
71,mean_top10_anova_period,False,False,1,0.6150776444167938
72,mean_top10_anova_period,False,False,1,0.6150776444167938
73,mean_top10_anova_period,False,False,1,0.6150776444167938
74,mean_top10_anova_period,False,False,1,0.6150776444167938
75,mean_top10_anova_period,False,False,1,0.6150776444167938
76,mean_top10_anova_period,False,False,1,0.6150776444167938
77,mean_top10_anova_period,False,False,1,0.6150776444167938
78,mean_top10_anova_period,False,False,1,0.6150776444167938
79,mean_top10_anova_period,False,False,1,0.6150776444167938
9,periodicity_strength,False,False,1,1950060.456866512
10,periodicity_strength,True,False,1,1950060.456866512
11,periodicity_strength,False,False,1,1950060.456866512
12,periodicity_strength,False,False,1,1950060.456866512
13,periodicity_strength,False,False,1,1950060.456866512
14,periodicity_strength,True,False,1,1950060.456866512
15,periodicity_strength,False,False,1,1950060.456866512
16,periodicity_strength,False,False,1,1950060.456866512
17,periodicity_strength,False,False,1,1950060.456866512
18,periodicity_strength,True,False,1,1950060.456866512
19,periodicity_strength,False,False,1,1950060.456866512
20,periodicity_strength,False,False,1,1950060.456866512
21,periodicity_strength,False,False,1,1950060.456866512
22,periodicity_strength,True,False,1,1950060.456866512
23,periodicity_strength,False,False,1,1950060.456866512
24,periodicity_strength,False,False,1,1950060.456866512
