phi_21,phi_37,cond_21,cond_37,sync_21,sync_37,entropy_21,entropy_37,k90_21,k90_37,kstar,kmod,seed_id,anchors
3.700200372120e+00,3.581781542498e+00,1.588772856498e+00,1.575298088864e+00,3.716379786931e-01,3.773566758035e-01,1.908390770445e+00,2.066123378349e+00,9.000000000000e+00,1.300000000000e+01,5.000000000000e+00,1.000000000000e+01,0,"3,5,7,9,11,14,15,17,19,22,23,25,28,32,34"
3.418150538770e+00,3.798754608380e+00,1.613838141335e+00,1.604289896721e+00,2.857248788976e-01,3.272551597698e-01,2.040948098325e+00,2.075204673646e+00,9.000000000000e+00,1.200000000000e+01,5.000000000000e+00,1.000000000000e+01,1,"3,4,6,7,9,11,12,13,16,19,20,22,23"
3.515035415632e+00,3.733296419873e+00,1.546858120402e+00,1.566394198299e+00,3.930434308162e-01,3.694902533827e-01,1.501633263930e+00,1.795680434866e+00,7.000000000000e+00,1.100000000000e+01,5.000000000000e+00,1.000000000000e+01,2,"2,3,5,9,12,13,15,16,17,18,20,21,23,26,27"
2.975061259501e+00,3.147266272394e+00,1.614392760389e+00,1.608026175143e+00,2.973825577993e-01,3.156436656425e-01,1.853643133952e+00,2.109835319932e+00,9.000000000000e+00,1.200000000000e+01,5.000000000000e+00,2.400000000000e+01,3,"3,5,6,9,11,13,14,16,17,18,21,22,23,25"
4.064888892570e+00,3.612045814379e+00,1.591351823202e+00,1.601197118730e+00,3.965146882079e-01,3.552043895668e-01,1.637537874218e+00,1.963846545846e+00,8.000000000000e+00,1.100000000000e+01,5.000000000000e+00,1.500000000000e+01,4,"2,3,6,8,9,11,14,15,16,18,20,23,25,26,28"
3.623894433567e+00,2.938515118934e+00,1.589235484225e+00,1.585564134833e+00,3.541453997776e-01,3.471607628097e-01,1.741479987484e+00,1.950709218817e+00,9.000000000000e+00,1.200000000000e+01,5.000000000000e+00,4.800000000000e+01,5,"3,6,8,9,11,13,15,17,18,20,21,23,24,26"
4.278487894321e+00,3.917082074406e+00,1.559781784772e+00,1.580862868594e+00,4.486309370579e-01,3.916666960329e-01,1.686715279485e+00,2.015424607621e+00,8.000000000000e+00,1.200000000000e+01,5.000000000000e+00,2.800000000000e+01,6,"3,5,7,8,9,10,11,12,14,15,17,18,19,20,22,25"
4.006166865336e+00,3.535085420895e+00,1.556724348001e+00,1.555545148325e+00,4.249677302009e-01,4.025720657381e-01,1.663456504123e+00,1.810355637525e+00,8.000000000000e+00,1.100000000000e+01,5.000000000000e+00,7.000000000000e+00,7,"5,8,9,11,12,13,14,16,18,20,21,24,27,29,37"
3.129069855170e+00,2.520648479924e+00,1.620569930504e+00,1.603141215014e+00,3.337051766542e-01,3.302640156853e-01,1.773577997894e+00,2.014331008691e+00,7.000000000000e+00,1.100000000000e+01,5.000000000000e+00,2.800000000000e+01,8,"3,6,8,9,10,11,12,13,15,16,19,20,24,25"
4.345493299886e+00,3.586238702705e+00,1.552163198526e+00,1.572525069953e+00,4.198922386497e-01,3.671596696261e-01,1.863852744148e+00,2.129171060783e+00,9.000000000000e+00,1.200000000000e+01,5.000000000000e+00,1.500000000000e+01,9,"3,5,6,7,9,10,12,14,15,18,20,21,25,27,29,32"
