symbol,pc1,pc2,pc3
Rf,-1.233134443185306e+17,-2.3149984153278195e+17,-1.6067895036597427e+17
Rh,-1.2766272835401168e+17,-2.008174321353617e+17,-5.8296185959860136e+16
Rn,-1.243644255821861e+17,2.421833196922098e+16,-1.2651993200689462e+17
Ru,-1.3438817862760605e+17,-1.9378901347156074e+17,9.854322770099979e+16
S,-1.2759066749307344e+17,7.588485272746889e+17,-2.3570827642052836e+16
Sb,-1.2469613054850845e+17,4.035129686659923e+16,-1.1819903900940523e+17
Sc,-1.3753322562333904e+17,6.185489075065896e+16,1.8149550975972224e+17
Se,-1.249177900340199e+17,1.3050162341577736e+17,-1.0961222380126598e+17
Sg,-1.2326050267704126e+17,-2.294286912412671e+17,-1.6183372686220406e+17
Si,-1.2832687934852976e+17,7.677688280369021e+17,-6087687243212592.0
Sm,-1.3714442308209499e+17,-2.770163755506772e+17,1.591809755677336e+17
Sn,-1.2603636152009198e+17,1.1110480762287208e+17,-8.429913116070755e+16
Sr,-1.3689012499494206e+17,-3.6522259891513e+16,1.628959315715779e+17
Ta,-1.3418388189488346e+17,-2.283421038047138e+17,9.252175347051984e+16
Tb,-1.3861434952902586e+17,-2.8185292348016966e+17,1.9318959317377264e+17
Tc,-1.3371119651500939e+17,-1.903928196629668e+17,8.29166688000782e+16
Te,-1.2436438016274376e+17,-9417434311136364.0,-1.2779920186545443e+17
Th,-1.536606708168912e+17,-3.297911794565541e+17,5.4211963552835565e+17
Ti,-1.451200824078702e+17,-1.7853137447843808e+17,3.490284085123276e+17
Tl,-1.261367897114974e+17,-2.1241471159595574e+17,-9.419619271460664e+16
Tm,-1.474919849143786e+17,-1.276721208221466e+17,4.0635997231807776e+17
U,-1.2325881766438382e+17,-2.2981585455007242e+17,-1.618876293503532e+17
V,-1.4561809054254592e+17,-2.5775053636259734e+17,3.5757326552895174e+17
W,-1.3649340409947445e+17,1.3772327867030832e+17,1.601884940808389e+17
Xe,1.8041199789861565e+17,8.913351633273364e+17,7860394990682458.0
Y,-1.3096255064134222e+17,-2.5364071695088333e+17,1.6496954545228094e+16
Yb,-1.3118750434205091e+17,-8.651211459524357e+16,2.820231623328715e+16
Zn,4.252235931332059e+17,3.6429473545595315e+17,-5.04831354011829e+16
Zr,-1.3177888092714128e+17,-2.5471465200436886e+17,3.5336197936576388e+16
