k,inertia,silhouette,status
2,3.3848269540483144e+37,0.8615360666055037,ok
3,2.0981720557666911e+37,0.5802276541101029,ok
4,1.3036625097685474e+37,0.5873814179313215,ok
5,1.0873784180161919e+37,0.38822184446226893,ok
6,9.111100488547195e+36,0.407154875735522,ok
7,7.379212456896459e+36,0.48407073439838827,ok
8,6.124250411331314e+36,0.4468179576788998,ok
