layer_feature,abs_pearson_r
levels_count_b21,0.49359889455287725
levels_energy_sum_b21,0.49243458834711135
levels_total_count,0.474788493918492
lines_count_b21,0.3834666757023981
levels_count_b22,0.3326720001194698
levels_energy_sum_b22,0.32418435859035355
lines_count_b17,0.3065815258779578
levels_energy_sum_b23,0.2676326533448671
levels_count_b23,0.2600649872114332
lines_count_b24,0.25754440374957344
