k,inertia,silhouette,status,repeat
2,13477.765377089805,0.8444941654685459,ok,1
3,9716.24441619381,0.8322231521773752,ok,1
4,7528.275101780141,0.7944489205838634,ok,1
5,6158.592412423757,0.7556400107106357,ok,1
6,4925.79044010835,0.7500167495555957,ok,1
7,4029.3768028588183,0.7210766299785922,ok,1
8,3457.001159115138,0.45496816138958446,ok,1
