layer_feature,pearson_r,abs_pearson_r
signal_b12,-0.12186065723683069,0.12186065723683069
signal_b29,0.09359558687189887,0.09359558687189887
signal_b37,0.09271649383206097,0.09271649383206097
signal_b03,0.07492328926291004,0.07492328926291004
signal_b30,0.07436402013341974,0.07436402013341974
signal_b20,-0.07415027652320577,0.07415027652320577
signal_b18,-0.07274704901394272,0.07274704901394272
signal_b14,-0.06877995370237086,0.06877995370237086
signal_b15,0.05386741110098153,0.05386741110098153
signal_b13,0.04652739502234962,0.04652739502234962
signal_b17,0.045860709326843635,0.045860709326843635
signal_b01,-0.04349727193297585,0.04349727193297585
signal_b21,0.04074109771293406,0.04074109771293406
signal_b19,0.03816681726769312,0.03816681726769312
signal_b05,-0.03485119083018533,0.03485119083018533
signal_b04,-0.03370973903810993,0.03370973903810993
signal_b16,0.032830482954394447,0.032830482954394447
signal_b36,-0.030133651366401486,0.030133651366401486
signal_b08,-0.026811534502557365,0.026811534502557365
signal_b02,-0.025839030416863768,0.025839030416863768
signal_b10,-0.02398824328067768,0.02398824328067768
signal_b34,0.023643801923546162,0.023643801923546162
signal_b09,-0.023420351515186993,0.023420351515186993
signal_b07,-0.02324414894598111,0.02324414894598111
signal_b35,0.022766702579293318,0.022766702579293318
signal_b32,0.022408197386366117,0.022408197386366117
signal_b06,-0.022137930709605576,0.022137930709605576
signal_b33,0.022093225172996247,0.022093225172996247
signal_b11,-0.01500454209252587,0.01500454209252587
signal_b31,-0.012035943139399543,0.012035943139399543
signal_b24,0.011515349320399753,0.011515349320399753
signal_b26,0.010712990176227991,0.010712990176227991
signal_b25,0.009598405075102104,0.009598405075102104
signal_b23,0.009106388721781976,0.009106388721781976
signal_b27,0.007788130677239423,0.007788130677239423
signal_b22,0.0061500424796281815,0.0061500424796281815
signal_b28,-0.005865177438621126,0.005865177438621126
