phi_21,phi_37,cond_21,cond_37,sync_21,sync_37,entropy_21,entropy_37,k90_21,k90_37,kstar,kmod,seed_id,anchors
1.024608837090e+00,1.100277328862e+00,1.630198407738e+00,1.634599066834e+00,2.062248184520e-01,2.238248208755e-01,7.467737757583e-01,1.020605716844e+00,3.000000000000e+00,6.000000000000e+00,5.000000000000e+00,1.000000000000e+01,0,"4,5,6,7,8,9,12,15,16,19,20,22,25,29"
1.146080090633e+00,1.028445751971e+00,1.642720627895e+00,1.593338880178e+00,2.289558196210e-01,2.513187177732e-01,1.316562020290e+00,1.172229950167e+00,8.000000000000e+00,6.000000000000e+00,5.000000000000e+00,1.000000000000e+01,1,"2,4,5,6,7,8,9,10,12,13,14,15,18,20,23,27"
1.190249034717e+00,1.210235276755e+00,1.644740950639e+00,1.645101046701e+00,2.078483853953e-01,1.883319408206e-01,1.321969254831e+00,1.206761217965e+00,8.000000000000e+00,8.000000000000e+00,5.000000000000e+00,1.500000000000e+01,2,"4,7,8,9,10,13,15,17,19,21,22,24,26,27,30"
9.895535427471e-01,1.040822592866e+00,1.664340193257e+00,1.646878020551e+00,1.650706054592e-01,1.758756333433e-01,1.282942809512e+00,1.652287529059e+00,4.000000000000e+00,6.000000000000e+00,5.000000000000e+00,4.500000000000e+01,3,"3,8,11,15,17,18,19,21,22,23,25,29"
1.418088493357e+00,1.344790834879e+00,1.614864206558e+00,1.638468525252e+00,2.217633824757e-01,1.943880651627e-01,1.539964553274e+00,1.800875820041e+00,6.000000000000e+00,8.000000000000e+00,4.800000000000e+01,5.900000000000e+01,4,"3,6,7,9,10,12,13,15,16,19,20,21,22,25"
1.221900728925e+00,1.079927349405e+00,1.594025811093e+00,1.605695311366e+00,2.134346529193e-01,1.984883389597e-01,1.577185542454e+00,1.423577437947e+00,5.000000000000e+00,6.000000000000e+00,2.400000000000e+01,7.000000000000e+00,5,"4,5,10,12,14,15,18,19,21,23,24,27,31"
9.711815739036e-01,9.223175539768e-01,1.633122970618e+00,1.636396721765e+00,1.864785219878e-01,1.860837522680e-01,8.810110365346e-01,9.913260510508e-01,5.000000000000e+00,6.000000000000e+00,5.000000000000e+00,1.000000000000e+01,6,"2,3,5,7,8,12,13,14,15,16,19,21,22,24,27"
1.097936561820e+00,1.160562164838e+00,1.661444239456e+00,1.657694180927e+00,1.806195385992e-01,1.715752138249e-01,1.199445962482e+00,1.551546271439e+00,4.000000000000e+00,5.000000000000e+00,5.000000000000e+00,1.900000000000e+01,7,"2,3,5,6,7,8,10,11,12,13,15,16,18,23"
6.709226848559e-01,9.674451887299e-01,1.655314389310e+00,1.662206461565e+00,1.445689429356e-01,1.581693217395e-01,1.571887190796e+00,1.347254678631e+00,9.000000000000e+00,7.000000000000e+00,2.400000000000e+01,7.000000000000e+00,8,"3,6,8,11,12,13,16,17,20,21,23,24,25,27,30"
1.027092898183e+00,1.177841893742e+00,1.651369577076e+00,1.641054951825e+00,1.738066035761e-01,1.720429780579e-01,1.699779407380e+00,1.535292017323e+00,7.000000000000e+00,7.000000000000e+00,8.000000000000e+00,1.000000000000e+01,9,"4,6,9,10,13,14,15,16,18,19,22,24,26,28,31"
