category,Fire,Water,Air,Earth
Ancrage,-1.886617,-1.886617,-1.886617,5.858501
Base du vivant,-1.952834,-1.952834,5.728312,-1.886617
Formation,-1.952834,5.728312,-1.952834,-1.886617
Origine,5.728312,-1.952834,-1.952834,-1.886617
Protection,-1.886617,-1.886617,-1.886617,5.858501
Respiration,-1.952834,-1.952834,5.728312,-1.886617
Stabilité,5.728312,-1.952834,-1.952834,-1.886617
Transmission,-1.952834,5.728312,-1.952834,-1.886617
