category,Fire,Water,Air,Earth
Ancrage,-0.296468,0.233581,0.301537,-0.237574
Base du vivant,0.095472,-0.416605,0.163311,0.163311
Formation,0.095472,0.095472,-0.357519,0.163311
Origine,0.095472,0.095472,0.163311,-0.357519
Protection,-0.296468,0.233581,0.301537,-0.237574
Respiration,0.095472,-0.416605,0.163311,0.163311
Stabilité,0.095472,0.095472,-0.357519,0.163311
Transmission,0.095472,0.095472,-0.357519,0.163311
