metric,K,control,n_perm,observed,null_mean,null_std,effect_z,p_value
entropy_drop,21,within_layer,400,-8.185505605507e-02,-4.391749002147e-02,7.593079631005e-03,-4.996334541086e+00,1.000000000000e+00
entropy_drop,21,block_preserving,2000,-8.185505605507e-02,-6.648832019834e-02,8.430416763507e-03,-1.822772976450e+00,9.915042478761e-01
entropy_drop,21,random_matched,400,-8.185505605507e-02,-1.551540637943e-02,1.807599787491e-02,-3.670040798563e+00,1.000000000000e+00
entropy_drop,37,within_layer,400,-1.307539213137e-02,-2.283497449225e-02,1.880927860585e-03,5.188706364232e+00,2.493765586035e-03
entropy_drop,37,block_preserving,2000,-1.307539213137e-02,-2.980066102380e-02,4.265253144278e-03,3.921283995738e+00,4.997501249375e-04
entropy_drop,37,random_matched,400,-1.307539213137e-02,-5.690009601536e-03,9.967935037549e-03,-7.409139909131e-01,7.880299251870e-01
