model,n_samples,n_classes,cv_macro_f1_mean,cv_macro_f1_std,status
Z_only,108,18,4.133315244426e-02,2.430249869768e-03,ok
layers_only,108,18,2.336182336182e-01,8.141703798425e-03,ok
