category,Fire,Water,Air,Earth
Argent,-0.296468,0.233581,0.301537,-0.237574
Blanc,0.095472,0.095472,0.163311,-0.357519
Bleu,0.095472,0.095472,-0.357519,0.163311
Jaune,0.095472,-0.416605,0.163311,0.163311
Or,0.095472,-0.416605,0.163311,0.163311
Rouge,0.095472,0.095472,-0.357519,0.163311
Vert,0.095472,0.095472,-0.357519,0.163311
Violet,-0.296468,0.233581,0.301537,-0.237574
