K,mean_top10_anova_block,mean_top10_anova_period,periodicity_strength,best_k_silhouette,p_block,p_period,p_periodicity,n_perm,n_elements
30,6.366589057001e+00,9.757431251693e+00,4.748526865872e+05,3.683154716537e-01,9.950248756219e-03,4.975124378109e-03,2.487562189055e-02,200,36
31,6.560800548605e+00,1.000585082243e+01,4.539818085999e+05,3.776045681964e-01,4.975124378109e-03,4.975124378109e-03,1.990049751244e-02,200,36
32,5.452648290060e+00,9.584545095929e+00,4.249910080349e+05,3.790679228097e-01,4.975124378109e-03,4.975124378109e-03,1.492537313433e-02,200,36
33,4.571980943136e+00,9.060572658316e+00,4.138413401971e+05,3.925810710425e-01,1.492537313433e-02,4.975124378109e-03,1.492537313433e-02,200,36
34,4.504397105026e+00,7.725034296387e+00,4.356775758567e+05,3.944838480084e-01,2.985074626866e-02,4.975124378109e-03,4.975124378109e-03,200,36
35,4.469007278777e+00,8.256997387117e+00,4.144206399462e+05,3.487424182698e-01,2.985074626866e-02,4.975124378109e-03,4.975124378109e-03,200,36
36,4.647712273711e+00,7.680687692098e+00,4.338411280060e+05,3.450954545329e-01,1.990049751244e-02,4.975124378109e-03,4.975124378109e-03,200,36
37,5.237640438353e+00,8.240467316268e+00,3.960468166530e+05,3.703290864480e-01,1.492537313433e-02,4.975124378109e-03,4.975124378109e-03,200,36
38,6.928899705589e+00,8.546058498947e+00,3.718976595554e+05,3.614172420065e-01,4.975124378109e-03,4.975124378109e-03,4.975124378109e-03,200,36
39,6.953392384271e+00,8.391684247979e+00,3.549202815882e+05,3.491687926496e-01,4.975124378109e-03,4.975124378109e-03,4.975124378109e-03,200,36
40,6.459834938252e+00,1.025722606397e+01,3.430867933891e+05,3.148477207176e-01,4.975124378109e-03,4.975124378109e-03,9.950248756219e-03,200,36
41,6.389863175798e+00,1.025579943494e+01,3.486752772163e+05,3.580805488408e-01,4.975124378109e-03,4.975124378109e-03,9.950248756219e-03,200,36
42,5.522591949846e+00,1.003822707186e+01,3.136085440089e+05,3.180029705282e-01,9.950248756219e-03,4.975124378109e-03,9.950248756219e-03,200,36
43,5.391194132377e+00,9.903962514801e+00,2.743145965282e+05,3.598251410303e-01,9.950248756219e-03,4.975124378109e-03,9.950248756219e-03,200,36
44,5.423899013634e+00,8.722725667234e+00,2.715008229953e+05,3.618891845655e-01,4.975124378109e-03,4.975124378109e-03,4.975124378109e-03,200,36
45,5.373778924434e+00,9.079322697652e+00,2.619650073016e+05,3.287860500375e-01,9.950248756219e-03,4.975124378109e-03,1.492537313433e-02,200,36
46,5.904887575317e+00,8.605154275708e+00,2.597353484215e+05,3.548092468893e-01,4.975124378109e-03,4.975124378109e-03,4.975124378109e-03,200,36
47,5.818161620916e+00,8.446625907500e+00,2.569086725385e+05,3.793747518988e-01,1.492537313433e-02,4.975124378109e-03,4.975124378109e-03,200,36
48,6.883737797736e+00,8.597831376804e+00,2.724603508988e+05,3.752044795743e-01,9.950248756219e-03,4.975124378109e-03,4.975124378109e-03,200,36
49,7.112847685241e+00,9.556325996788e+00,2.663715581015e+05,3.697270986254e-01,4.975124378109e-03,4.975124378109e-03,4.975124378109e-03,200,36
50,5.615637487378e+00,1.080599375442e+01,2.481004418906e+05,3.390454178980e-01,4.975124378109e-03,4.975124378109e-03,9.950248756219e-03,200,36
