category,Fire,Water,Air,Earth
Cube,-0.296468,0.233581,0.301537,-0.237574
Double sphère,0.095472,0.095472,-0.357519,0.163311
Hexagone,0.095472,-0.416605,0.163311,0.163311
Onde spiralée,0.095472,0.095472,-0.357519,0.163311
Pyramide,0.095472,-0.416605,0.163311,0.163311
Sphère,0.095472,0.095472,0.163311,-0.357519
Spirale,-0.296468,0.233581,0.301537,-0.237574
Tétrahédrique,0.095472,0.095472,-0.357519,0.163311
