K,mean_top10_anova_block,mean_top10_anova_period,periodicity_strength,best_k_silhouette,p_block,p_period,p_periodicity,n_perm,n_elements
30,6.405059945501e+00,1.106417149383e+01,1.018210398417e+07,3.956993956228e-01,4.975124378109e-03,9.950248756219e-03,7.462686567164e-02,200,36
31,6.067848805830e+00,1.110095406949e+01,9.712221241693e+06,3.843951810338e-01,4.975124378109e-03,4.975124378109e-03,8.955223880597e-02,200,36
32,5.946940713310e+00,1.224800194605e+01,9.921860925180e+06,3.948120786359e-01,4.975124378109e-03,1.492537313433e-02,1.492537313433e-02,200,36
33,6.245493576152e+00,1.195618899951e+01,9.599589941202e+06,3.900036148236e-01,4.975124378109e-03,1.492537313433e-02,2.985074626866e-02,200,36
34,6.227965580332e+00,1.098801823145e+01,7.668294464895e+06,4.146372896662e-01,4.975124378109e-03,4.975124378109e-03,5.970149253731e-02,200,36
35,6.254318195852e+00,1.113656072845e+01,7.527917083664e+06,3.075636722398e-01,4.975124378109e-03,9.950248756219e-03,7.462686567164e-02,200,36
36,6.314985294966e+00,1.534385561143e+01,9.059193109884e+06,3.540211982162e-01,4.975124378109e-03,4.975124378109e-03,2.985074626866e-02,200,36
37,6.319106025647e+00,1.551482381240e+01,8.788402312627e+06,3.579610841976e-01,4.975124378109e-03,4.975124378109e-03,5.472636815920e-02,200,36
38,6.552152932372e+00,1.373210357923e+01,6.226850365215e+06,3.149196308435e-01,4.975124378109e-03,4.975124378109e-03,9.452736318408e-02,200,36
39,6.414830571272e+00,1.371182603234e+01,6.045177611301e+06,3.209526287094e-01,4.975124378109e-03,9.950248756219e-03,6.965174129353e-02,200,36
40,6.246648435823e+00,1.327248462329e+01,8.177510965633e+06,3.594734673056e-01,4.975124378109e-03,9.950248756219e-03,1.492537313433e-02,200,36
41,7.179956246253e+00,1.346347963219e+01,8.021653584441e+06,3.719629273908e-01,4.975124378109e-03,9.950248756219e-03,3.482587064677e-02,200,36
42,7.246994891480e+00,1.511816547881e+01,5.401896756085e+06,3.724373385401e-01,4.975124378109e-03,4.975124378109e-03,6.965174129353e-02,200,36
43,6.386367277555e+00,1.472898131079e+01,5.234062724350e+06,3.972168616631e-01,4.975124378109e-03,4.975124378109e-03,4.477611940299e-02,200,36
44,6.212979227799e+00,1.347234746509e+01,7.072689065020e+06,3.327483502610e-01,4.975124378109e-03,1.492537313433e-02,3.482587064677e-02,200,36
45,6.801954857542e+00,1.369315579328e+01,6.885046782634e+06,3.712891573319e-01,4.975124378109e-03,4.975124378109e-03,2.985074626866e-02,200,36
46,7.373304383919e+00,1.834347091225e+01,4.835474180457e+06,3.950166497401e-01,4.975124378109e-03,9.950248756219e-03,3.980099502488e-02,200,36
47,6.908519428322e+00,1.837343976542e+01,4.753432851588e+06,3.776306771134e-01,4.975124378109e-03,1.492537313433e-02,5.970149253731e-02,200,36
48,6.536733491495e+00,1.554003542682e+01,6.032472915584e+06,3.949989909632e-01,4.975124378109e-03,1.492537313433e-02,6.467661691542e-02,200,36
49,6.486650489038e+00,1.554003542682e+01,5.952023867075e+06,3.697773881975e-01,4.975124378109e-03,9.950248756219e-03,4.477611940299e-02,200,36
50,6.807150543467e+00,1.460477298334e+01,4.741894281199e+06,3.100533721125e-01,9.950248756219e-03,9.950248756219e-03,3.980099502488e-02,200,36
