model,lam,match_score,effective_rank,alpha,K90,K95,K99,percolation_k_star,modularity_k_max,fusion_event_k,cumvar_l2_vs_real,alpha_target,eta,r_latent,cascade_sigma
M4,8.000000000000e-01,1.449454955004e+02,3.567121958633e+00,1.355833187129e+00,4,5,42,5,10,2,8.543448174870e-01,6.000000000000e+00,5.000000000000e-01,4.000000000000e+00,
M4,1.000000000000e+00,1.449939326860e+02,4.236569036142e+00,1.161922036749e+00,4,4,44,5,14,2,7.571437622691e-01,1.200000000000e+01,1.000000000000e-01,4.000000000000e+00,
M4,1.000000000000e+00,1.455076787290e+02,4.901091539583e+00,1.151082555522e+00,4,4,46,5,16,2,6.622800653349e-01,8.000000000000e+00,1.000000000000e-01,4.000000000000e+00,
M4,4.000000000000e-01,1.458859649274e+02,4.680166764680e+00,1.539802301425e+00,5,8,46,5,10,2,7.135780085218e-01,1.200000000000e+01,5.000000000000e-01,4.000000000000e+00,
M4,1.000000000000e+00,1.461533683112e+02,4.580191924919e+00,1.182640779879e+00,4,4,43,5,10,2,7.115625783160e-01,1.400000000000e+01,1.000000000000e-01,4.000000000000e+00,
M4,2.000000000000e-01,1.462163266306e+02,3.870266336382e+00,1.363806881191e+00,6,12,50,5,15,2,8.048653014572e-01,1.200000000000e+01,7.000000000000e-01,4.000000000000e+00,
M4,0.000000000000e+00,1.463326420755e+02,4.160502962498e+00,1.146716641029e+00,5,21,53,5,29,2,8.276242897797e-01,8.000000000000e+00,3.000000000000e-01,4.000000000000e+00,
M5,1.000000000000e+00,1.465396823495e+02,4.417242726005e+00,1.181835098668e+00,4,4,43,5,10,2,7.405618767526e-01,,,4.000000000000e+00,8.000000000000e-01
M4,2.000000000000e-01,1.466936434525e+02,7.688988930419e+00,1.435242883110e+00,8,21,53,5,17,2,4.694003093235e-01,1.000000000000e+01,3.000000000000e-01,4.000000000000e+00,
M4,8.000000000000e-01,1.469699431857e+02,5.307758043663e+00,1.378042282549e+00,4,5,46,5,12,2,6.405183883120e-01,6.000000000000e+00,1.000000000000e-01,4.000000000000e+00,
M4,2.000000000000e-01,1.471303240749e+02,1.038107694953e+01,1.406941654222e+00,10,28,54,5,18,2,3.373767963096e-01,1.000000000000e+01,1.000000000000e-01,4.000000000000e+00,
M4,1.000000000000e+00,1.475275162241e+02,4.849417838373e+00,1.178479953225e+00,4,4,44,5,10,2,6.616212082277e-01,6.000000000000e+00,1.000000000000e-01,4.000000000000e+00,
M4,0.000000000000e+00,1.475436508147e+02,6.782770098585e+00,1.182505369310e+00,8,30,54,5,60,2,6.090788878692e-01,8.000000000000e+00,1.000000000000e-01,4.000000000000e+00,
M1,3.000000000000e-01,1.478820697044e+02,7.566402250586e+00,1.758002661655e+00,6,8,43,32,21,2,4.251664232531e-01,,,,
M5,6.000000000000e-01,1.479398444011e+02,1.151040643900e+01,1.541593028400e+00,12,26,52,5,10,2,3.103965615850e-01,,,4.000000000000e+00,4.000000000000e-01
M4,6.000000000000e-01,1.481250470878e+02,5.620805927620e+00,1.451094879287e+00,5,9,49,5,11,2,6.406971184360e-01,1.100000000000e+01,3.000000000000e-01,4.000000000000e+00,
M4,1.000000000000e+00,1.493436152553e+02,4.080777274718e+00,1.163863171848e+00,4,4,44,5,10,2,7.791049881313e-01,6.000000000000e+00,3.000000000000e-01,4.000000000000e+00,
M4,1.000000000000e+00,1.494728335563e+02,3.181806872446e+00,1.136282928649e+00,3,4,43,5,11,2,9.033733715476e-01,1.100000000000e+01,5.000000000000e-01,4.000000000000e+00,
M4,6.000000000000e-01,1.502018008410e+02,5.124115820072e+00,1.451820395107e+00,4,6,47,5,10,2,6.834721612161e-01,1.000000000000e+01,3.000000000000e-01,4.000000000000e+00,
M4,4.000000000000e-01,1.502080021935e+02,6.590822568139e+00,1.395671383897e+00,5,15,51,8,12,2,5.690560686970e-01,1.200000000000e+01,3.000000000000e-01,4.000000000000e+00,
M4,2.000000000000e-01,1.503276742916e+02,8.696754658125e+00,1.253995198263e+00,12,35,55,5,28,2,5.223099293070e-01,8.000000000000e+00,3.000000000000e-01,4.000000000000e+00,
M4,8.000000000000e-01,1.504780904784e+02,5.831405731254e+00,1.507905101969e+00,4,7,46,28,28,2,6.130339513916e-01,1.400000000000e+01,1.000000000000e-01,4.000000000000e+00,
M4,6.000000000000e-01,1.510567107859e+02,4.319114754661e+00,1.431185368699e+00,4,9,48,5,10,2,7.749735286263e-01,1.200000000000e+01,5.000000000000e-01,4.000000000000e+00,
M4,4.000000000000e-01,1.517910260689e+02,3.202952107922e+00,1.341423677715e+00,4,7,47,8,15,2,8.913259869050e-01,1.400000000000e+01,7.000000000000e-01,4.000000000000e+00,
M2,1.000000000000e-01,1.526938832803e+02,2.247712356443e+01,1.585318073858e+00,25,33,47,5,38,2,7.862864439289e-01,,,,
