K,phi_raw,phi_norm,dphi_dK,phi_control_within_layer,phi_control_block_preserving,phi_control_random_matched,phi_norm_baseline_block_mean
39,6.972597515436e+00,1.356085694589e+00,-1.843194882489e-02,2.359772770124e+00,5.177078243018e+00,1.044204326582e+01,5.141708627456e+00
40,6.972597515436e+00,1.337952583027e+00,-9.066555780582e-03,2.359772770124e+00,5.252878956572e+00,1.068320630146e+01,5.211393590391e+00
41,6.972597515436e+00,1.337952583027e+00,-1.110223024625e-16,2.359772770124e+00,5.252878956572e+00,1.088078928230e+01,5.211393590391e+00
42,6.972597515436e+00,1.337952583027e+00,-1.110223024625e-16,2.359772770124e+00,5.252878956572e+00,1.105990980753e+01,5.211393590391e+00
43,6.972597515436e+00,1.337952583027e+00,0.000000000000e+00,2.359772770124e+00,5.252878956572e+00,1.122348114272e+01,5.211393590391e+00
44,6.972597515436e+00,1.337952583027e+00,-1.110223024625e-16,2.359772770124e+00,5.252878956572e+00,1.156323113795e+01,5.211393590391e+00
45,6.972597515436e+00,1.337952583027e+00,0.000000000000e+00,2.359772770124e+00,5.252878956572e+00,1.195506788412e+01,5.211393590391e+00
46,6.972597515436e+00,1.337952583027e+00,1.110223024625e-16,2.359772770124e+00,5.252878956572e+00,1.232214735262e+01,5.211393590391e+00
47,6.972597515436e+00,1.337952583027e+00,1.110223024625e-16,2.359772770124e+00,5.252878956572e+00,1.264585549539e+01,5.211393590391e+00
48,6.972597515436e+00,1.337952583027e+00,-1.110223024625e-16,2.359772770124e+00,5.252878956572e+00,1.280076429036e+01,5.211393590391e+00
49,6.972597515436e+00,1.337952583027e+00,0.000000000000e+00,2.359772770124e+00,5.252878956572e+00,1.313500468022e+01,5.211393590391e+00
50,6.972597515436e+00,1.337952583027e+00,1.110223024625e-16,2.359772770124e+00,5.252878956572e+00,1.337939654241e+01,5.211393590391e+00
51,6.972597515436e+00,1.337952583027e+00,1.110223024625e-16,2.359772770124e+00,5.252878956572e+00,1.369932868351e+01,5.211393590391e+00
52,6.972597515436e+00,1.337952583027e+00,0.000000000000e+00,2.359772770124e+00,5.252878956572e+00,1.392380287290e+01,5.211393590391e+00
53,6.972597515436e+00,1.337952583027e+00,-2.220446049250e-16,2.359772770124e+00,5.252878956572e+00,1.420790802878e+01,5.211393590391e+00
54,6.972597515436e+00,1.337952583027e+00,0.000000000000e+00,2.359772770124e+00,5.252878956572e+00,1.459905581467e+01,5.211393590391e+00
55,6.972597515436e+00,1.337952583027e+00,1.110223024625e-16,2.359772770124e+00,5.252878956572e+00,1.473357729028e+01,5.211393590391e+00
56,6.972597515436e+00,1.337952583027e+00,-1.110223024625e-16,2.359772770124e+00,5.252878956572e+00,1.511162382570e+01,5.211393590391e+00
57,6.972597515436e+00,1.337952583027e+00,0.000000000000e+00,2.359772770124e+00,5.252878956572e+00,1.554415388006e+01,5.211393590391e+00
58,6.972597515436e+00,1.337952583027e+00,2.220446049250e-16,2.359772770124e+00,5.252878956572e+00,1.573004237681e+01,5.211393590391e+00
59,6.972597515436e+00,1.337952583027e+00,-1.110223024625e-16,2.359772770124e+00,5.252878956572e+00,1.584095157959e+01,5.211393590391e+00
60,6.972597515436e+00,1.337952583027e+00,-4.440892098501e-16,2.359772770124e+00,5.252878956572e+00,1.602752793011e+01,5.211393590391e+00
