kernel,roc_auc,pr_auc,acc_best,brier,p_perm_auc
kernel_rbf,4.789890039985e-01,3.549088254383e-01,6.044825313118e-01,3.652619099821e-01,9.740129935032e-01
kernel_laplacian,4.789890039985e-01,3.549088254383e-01,6.044825313118e-01,3.083840506972e-01,9.740129935032e-01
kernel_dot,4.110182660851e-01,3.276247117661e-01,6.044825313118e-01,3.085356608481e-01,1.000000000000e+00
kernel_poly2,4.110182660851e-01,3.276247117661e-01,6.044825313118e-01,3.798076260185e-01,1.000000000000e+00
kernel_cosine,3.705334423846e-01,3.087432339209e-01,6.044825313118e-01,3.289281431936e-01,1.000000000000e+00
