symA,symB,S_cos,S_wcos,S_dot,same_group,period_distance
Ca,Pu,-4.990680952667e-01,-6.034788185841e-01,-8.156479765615e+00,0,3.000000000000e+00
Ca,Am,-4.966470730731e-01,-6.112751023747e-01,-8.467120528568e+00,0,3.000000000000e+00
Ca,Cm,-4.848752771603e-01,-5.941468140627e-01,-7.962285340995e+00,0,3.000000000000e+00
Ca,Bk,-5.015969668476e-01,-5.997421660293e-01,-8.202258364684e+00,0,3.000000000000e+00
Ca,Cf,-5.092948277972e-01,-6.171634078059e-01,-8.535250364978e+00,0,3.000000000000e+00
Ca,Es,-5.224192114057e-01,-6.198988551110e-01,-9.352751703110e+00,0,3.000000000000e+00
Ca,Fm,-4.945582223649e-01,-5.879910563104e-01,-1.256067035627e+01,0,3.000000000000e+00
Ca,Md,-4.947761981831e-01,-5.881720917510e-01,-1.256933681844e+01,0,3.000000000000e+00
Ca,No,-4.948752711702e-01,-5.882555733608e-01,-1.257359576556e+01,0,3.000000000000e+00
Ca,Lr,-4.870974627503e-01,-5.823164272267e-01,-1.240721207249e+01,0,3.000000000000e+00
Ca,Rf,-4.929821236683e-01,-5.867393898570e-01,-1.251337623412e+01,0,3.000000000000e+00
Ca,Db,-4.952572131046e-01,-5.885880688914e-01,-1.259286007291e+01,0,3.000000000000e+00
Ca,Sg,-4.955260128220e-01,-5.891390222653e-01,-1.269190535489e+01,0,3.000000000000e+00
Ca,Bh,-4.956455172738e-01,-5.891752956766e-01,-1.267952469465e+01,0,3.000000000000e+00
Ca,Hs,-4.957218245773e-01,-5.891817674628e-01,-1.266714403440e+01,0,3.000000000000e+00
Sc,Ti,9.546896892080e-01,9.737135592488e-01,7.610543894493e+00,0,0.000000000000e+00
Sc,V,9.382191171374e-01,9.717196376930e-01,7.360182948311e+00,0,0.000000000000e+00
Sc,Cr,6.395785327110e-01,8.972031453796e-01,5.586109712336e+00,0,0.000000000000e+00
Sc,Mn,3.364758506938e-01,5.703675767706e-01,2.562437977243e+00,0,0.000000000000e+00
Sc,Fe,7.181223045310e-01,7.998033509601e-01,1.095704320329e+01,0,0.000000000000e+00
Sc,Co,1.886614101245e-01,-2.110030937016e-01,2.420176183266e+00,0,0.000000000000e+00
Sc,Ni,6.117447051091e-01,5.009648264429e-01,3.176198965757e+00,0,0.000000000000e+00
Sc,Cu,5.513134853280e-01,7.551204078068e-01,2.496649152701e+00,0,0.000000000000e+00
Sc,Zn,-3.014585834689e-02,4.839105793229e-01,-2.088579464653e-01,0,0.000000000000e+00
Sc,Ga,5.304080865026e-01,7.465578017498e-01,2.265899021451e+00,0,0.000000000000e+00
Sc,Ge,5.634179210372e-01,7.856406181519e-01,3.542545915545e+00,0,0.000000000000e+00
Sc,As,5.764474460440e-02,9.672594536019e-02,2.503855513003e-01,0,0.000000000000e+00
Sc,Se,3.259017885667e-01,3.880653649677e-01,1.629020775370e+00,0,0.000000000000e+00
Sc,Br,-7.277895908650e-03,2.366748154557e-01,-5.854453823858e-02,0,0.000000000000e+00
Sc,Kr,-3.359071586636e-01,1.317549268808e-01,-5.794032505068e+00,0,0.000000000000e+00
Sc,Rb,4.622530869435e-01,6.220083209785e-01,2.535736983585e+00,0,1.000000000000e+00
Sc,Sr,5.892488956275e-01,8.806697261171e-01,2.954835974326e+00,0,1.000000000000e+00
Sc,Y,-7.346297851469e-02,2.122356004494e-01,-2.704364662533e+00,1,1.000000000000e+00
Sc,Zr,6.335134271309e-01,5.090124726028e-01,4.432956276880e+00,0,1.000000000000e+00
Sc,Nb,2.081432951033e-01,-2.032197123412e-01,2.674533527614e+00,0,1.000000000000e+00
Sc,Mo,-5.280995044647e-02,1.827869206876e-01,-2.103639322202e+00,0,1.000000000000e+00
Sc,Tc,6.632514073952e-01,5.372060646339e-01,3.974037311328e+00,0,1.000000000000e+00
Sc,Ru,6.712491509644e-01,5.533318292984e-01,4.150855660667e+00,0,1.000000000000e+00
Sc,Rh,5.268510893932e-01,3.195178617691e-01,3.519785985991e+00,0,1.000000000000e+00
Sc,Pd,1.859072851894e-01,-2.109475885459e-01,2.391644158269e+00,0,1.000000000000e+00
Sc,Ag,-1.333864344000e-01,2.049424780285e-01,-6.099935933796e-01,0,1.000000000000e+00
Sc,Cd,-1.800332020481e-01,1.610403746282e-01,-8.072732970657e-01,0,1.000000000000e+00
Sc,In,4.559433609459e-01,4.493644294517e-01,2.502215388179e+00,0,1.000000000000e+00
Sc,Sn,6.451726236405e-01,6.706913710164e-01,2.820239733927e+00,0,1.000000000000e+00
Sc,Sb,2.931458864306e-01,3.241777066085e-01,1.385870187650e+00,0,1.000000000000e+00
Sc,Te,3.638890484298e-01,3.736043181483e-01,1.718924634924e+00,0,1.000000000000e+00
Sc,I,2.774378433747e-01,4.413013761072e-01,1.408807070730e+00,0,1.000000000000e+00
Sc,Xe,-2.741941064149e-01,2.058220632330e-01,-2.990997154965e+00,0,1.000000000000e+00
Sc,Cs,4.869516890574e-01,5.957927940535e-01,2.749170970599e+00,0,2.000000000000e+00
Sc,Ba,3.590427284785e-01,5.978236712297e-01,2.782094039589e+00,0,2.000000000000e+00
Sc,La,6.543123577682e-01,5.738450336940e-01,4.304972587406e+00,1,2.000000000000e+00
Sc,Ce,6.626375440780e-01,6.863355183056e-01,6.711244406564e+00,1,2.000000000000e+00
Sc,Pr,6.123463315633e-01,5.744829801108e-01,4.713339837000e+00,1,2.000000000000e+00
Sc,Nd,6.466844171052e-01,6.812908210360e-01,5.502721935277e+00,1,2.000000000000e+00
Sc,Pm,4.902630434608e-01,3.034385340427e-01,3.671454426662e+00,1,2.000000000000e+00
Sc,Sm,6.809016818178e-01,6.405146661458e-01,5.069430906109e+00,1,2.000000000000e+00
Sc,Eu,4.541926740393e-01,6.442067293639e-01,3.670429277122e+00,1,2.000000000000e+00
Sc,Gd,7.376458084583e-01,7.146480044753e-01,5.536528316406e+00,1,2.000000000000e+00
Sc,Tb,7.044516101767e-01,6.904505206810e-01,5.625535866250e+00,1,2.000000000000e+00
Sc,Dy,6.073779568937e-01,6.937276452257e-01,5.221256485611e+00,1,2.000000000000e+00
Sc,Ho,5.706302505141e-01,4.511662203420e-01,3.972872198910e+00,1,2.000000000000e+00
Sc,Er,6.053606115645e-01,6.922021677109e-01,5.040974711455e+00,1,2.000000000000e+00
Sc,Tm,3.962552136674e-01,5.867576777558e-01,3.418665246496e+00,1,2.000000000000e+00
Sc,Yb,3.642358113478e-01,3.064908203190e-01,1.827243745258e+00,1,2.000000000000e+00
Sc,Lu,5.551647372441e-01,4.009764106575e-01,3.479068586165e+00,1,2.000000000000e+00
Sc,Hf,-1.317402066647e-01,2.052239506552e-01,-1.951124522181e+00,0,2.000000000000e+00
Sc,Ta,6.486430389482e-01,5.223365631585e-01,4.105766062659e+00,0,2.000000000000e+00
Sc,W,-1.117835203479e-01,2.878152153261e-01,-1.658046623272e+00,0,2.000000000000e+00
Sc,Re,5.661410100354e-01,4.722607887657e-01,3.053736879128e+00,0,2.000000000000e+00
Sc,Os,5.997411313785e-01,4.301263491247e-01,3.517698186641e+00,0,2.000000000000e+00
Sc,Ir,5.320337962753e-01,3.495527486070e-01,2.964852249928e+00,0,2.000000000000e+00
Sc,Pt,6.330709149356e-01,4.695268235085e-01,3.005628394292e+00,0,2.000000000000e+00
Sc,Au,2.256497585611e-01,4.229879332666e-02,1.163152117389e+00,0,2.000000000000e+00
Sc,Hg,-1.554336713348e-01,2.938372972693e-01,-9.964332894898e-01,0,2.000000000000e+00
Sc,Tl,4.153269677114e-01,2.889413113234e-01,2.245796547437e+00,0,2.000000000000e+00
Sc,Pb,5.045075921405e-01,4.966622562546e-01,2.321310937158e+00,0,2.000000000000e+00
Sc,Bi,-1.053406729029e-01,2.489095762953e-02,-2.459218870821e+00,0,2.000000000000e+00
Sc,Po,2.611732917912e-01,7.522727526270e-02,1.554243498493e+00,0,2.000000000000e+00
Sc,At,-1.731503334108e-01,-3.765197120535e-01,-3.684087124724e+00,0,2.000000000000e+00
Sc,Rn,-4.671988406138e-01,-2.252707313397e-01,-3.414521597695e+00,0,2.000000000000e+00
Sc,Fr,6.184256223371e-02,2.119161275135e-01,1.575154778386e+00,0,3.000000000000e+00
Sc,Ra,4.791394803273e-01,4.048859238018e-01,2.733982638992e+00,0,3.000000000000e+00
Sc,Ac,5.050186218481e-01,3.598086025764e-01,3.832481677512e+00,1,3.000000000000e+00
Sc,Th,6.682141840005e-01,7.567323100464e-01,1.326586257068e+01,1,3.000000000000e+00
Sc,Pa,-3.809572730621e-01,-7.157605877359e-01,-4.325357142471e+00,1,3.000000000000e+00
Sc,U,-3.680720006523e-01,-6.963950520277e-01,-4.187760520184e+00,1,3.000000000000e+00
Sc,Np,-3.980258166676e-01,-7.344692369801e-01,-4.520558685869e+00,1,3.000000000000e+00
Sc,Pu,-3.682300510127e-01,-7.140681246236e-01,-4.182421185512e+00,1,3.000000000000e+00
Sc,Am,-4.117524412601e-01,-7.672592909896e-01,-4.878537254556e+00,1,3.000000000000e+00
