ablation,roc_auc,pr_auc,acc_best,brier,p_perm_auc
ABL1_remove_psit,5.703339694656e-01,4.171156354201e-01,6.044825313118e-01,4.710840255167e-01,4.997501249375e-04
ABL5_rank_normalization,5.428916757543e-01,4.203350498836e-01,6.048121292024e-01,3.192484986445e-01,4.997501249375e-04
ABL3_randomize_layer_order_per_element,5.161277717194e-01,3.893003608946e-01,6.044825313118e-01,4.743749524674e-01,7.146426786607e-02
ABL2_swap_cosine_to_L2,5.109987277354e-01,3.816159487577e-01,6.048121292024e-01,4.506649976220e-01,1.554222888556e-01
ABL4_only_mid_b13_b24,4.981518084333e-01,3.698413601860e-01,6.044825313118e-01,5.250615455390e-01,5.847076461769e-01
ABL6_mutual_information_proxy,4.949000363504e-01,3.655715057395e-01,6.044825313118e-01,4.722677882227e-01,6.836581709145e-01
ABL4_only_low_b01_b12,4.856002362777e-01,3.947011032772e-01,6.071193144364e-01,5.572536653193e-01,9.105447276362e-01
ABL4_only_high_b25_b37,4.512390948746e-01,3.393885027751e-01,6.044825313118e-01,5.040779067586e-01,1.000000000000e+00
