category,Fire,Water,Air,Earth
Activateur,-1.952834,-1.952834,5.728312,-1.886617
Amplificateur,-1.952834,5.728312,-1.952834,-1.886617
Catalyseur,-1.886617,-1.886617,-1.886617,5.858501
Diffuseur,-1.952834,-1.952834,5.728312,-1.886617
Isolant,5.728312,-1.952834,-1.952834,-1.886617
Modulateur,-1.952834,5.728312,-1.952834,-1.886617
Stabilisateur,-1.886617,-1.886617,-1.886617,5.858501
Émetteur,5.728312,-1.952834,-1.952834,-1.886617
