category,Fire,Water,Air,Earth
Cube,-1.886617,-1.886617,-1.886617,5.858501
Double sphère,5.728312,-1.952834,-1.952834,-1.886617
Hexagone,-1.952834,-1.952834,5.728312,-1.886617
Onde spiralée,-1.952834,5.728312,-1.952834,-1.886617
Pyramide,-1.952834,-1.952834,5.728312,-1.886617
Sphère,5.728312,-1.952834,-1.952834,-1.886617
Spirale,-1.886617,-1.886617,-1.886617,5.858501
Tétrahédrique,-1.952834,5.728312,-1.952834,-1.886617
