metric,K,control,observed,null_mean,null_std,effect_z,p_value
phi_raw,21,within_layer,3.142579177726e+00,1.191448151507e+00,9.966522209487e-02,1.957684922793e+01,4.997501249375e-04
phi_raw,21,block_preserving,3.142579177726e+00,2.664893196801e+00,5.906744093272e-02,8.087128431196e+00,4.997501249375e-04
phi_raw,21,random_matched,3.142579177726e+00,5.137502705659e+00,3.758679529900e-01,-5.307511619609e+00,1.000000000000e+00
phi_raw,37,within_layer,6.972597515436e+00,2.452210009600e+00,9.509684646556e-02,4.753456790466e+01,4.997501249375e-04
phi_raw,37,block_preserving,6.972597515436e+00,5.005569374490e+00,8.947113426647e-02,2.198505872394e+01,4.997501249375e-04
phi_raw,37,random_matched,6.972597515436e+00,9.274033194520e+00,4.740962993965e-01,-4.854363305543e+00,1.000000000000e+00
