metric,K,control,n_perm,observed,null_mean,null_std,effect_z,p_value
cond_entropy_discrete,21,within_layer,400,8.701201990094e-01,1.376147213178e+00,6.955893268464e-03,7.274795553048e+01,2.493765586035e-03
cond_entropy_discrete,21,block_preserving,2000,8.701201990094e-01,1.642765397882e+00,9.137377398111e-03,8.455874866597e+01,4.997501249375e-04
cond_entropy_discrete,21,random_matched,400,8.701201990094e-01,1.618549916842e+00,1.581720722914e-02,4.731743771137e+01,2.493765586035e-03
cond_entropy_discrete,37,within_layer,400,9.068668308508e-01,1.459970114079e+00,5.169769461212e-03,1.069879977005e+02,2.493765586035e-03
cond_entropy_discrete,37,block_preserving,2000,9.068668308508e-01,1.545605116895e+00,8.253777988743e-03,7.738738392474e+01,4.997501249375e-04
cond_entropy_discrete,37,random_matched,400,9.068668308508e-01,1.616899166363e+00,1.318386246346e-02,5.385616980455e+01,2.493765586035e-03
