category,Fire,Water,Air,Earth
Activateur,0.095472,-0.416605,0.163311,0.163311
Amplificateur,0.095472,0.095472,-0.357519,0.163311
Catalyseur,-0.296468,0.233581,0.301537,-0.237574
Diffuseur,0.095472,-0.416605,0.163311,0.163311
Isolant,0.095472,0.095472,-0.357519,0.163311
Modulateur,0.095472,0.095472,-0.357519,0.163311
Stabilisateur,-0.296468,0.233581,0.301537,-0.237574
Émetteur,0.095472,0.095472,0.163311,-0.357519
