score,observed_auc,null_mean_auc,null_std_auc,p_empirical,n_perm
S_V,4.949000363504e-01,5.000435016812e-01,1.066031295407e-02,6.836581709145e-01,2000
V,5.050999636496e-01,4.999564983188e-01,1.066031295407e-02,3.168415792104e-01,2000
