iter,mean_top10_anova_block,mean_top10_anova_period,mean_top10_periodicity_strength
99,1.789317454753e+01,5.080344872072e+01,7.057155002876e+43
100,1.869773449175e+01,5.408222608773e+01,7.102455854038e+43
101,2.280224703092e+01,3.338360729193e+01,7.102437868645e+43
102,2.062665048471e+01,3.804206498171e+01,1.076298185679e+44
103,1.675006273584e+01,4.310011651486e+01,1.178459735940e+45
104,1.755082392935e+01,3.615248892988e+01,7.099698109390e+43
105,1.450164424396e+01,3.514634229629e+01,7.168314961555e+44
106,2.351856753778e+01,3.669596887658e+01,9.402706214451e+44
107,1.190720469443e+01,2.590665959739e+01,9.415358049092e+44
108,1.690835453714e+01,6.987832374197e+01,1.075098327884e+44
109,1.765246314255e+01,2.929379609862e+01,7.087973077182e+43
110,1.874274969939e+01,6.136697011337e+01,4.236409089690e+44
111,2.084313083532e+01,5.651088022385e+01,9.416674799158e+44
112,2.293104478789e+01,3.642994522170e+01,1.077305476654e+44
113,1.260259183360e+01,5.105028742180e+01,1.407856216844e+34
114,1.833408657455e+01,3.631835370372e+01,4.251682500974e+44
115,2.182869587468e+01,3.296276670193e+01,9.402713839685e+44
116,1.592148748883e+01,5.886502285670e+01,1.558195741585e+45
117,1.468868594499e+01,2.602102942274e+01,4.242607890195e+44
118,1.823950995510e+01,2.742618559191e+02,2.640713768123e+44
119,1.351304892121e+01,2.932696464287e+01,7.297355039758e+38
120,1.673750550161e+01,5.084273369691e+01,2.794530016789e+44
121,1.772944602311e+01,3.747863604429e+01,3.516506863409e+44
122,2.578894831810e+01,5.744105635563e+01,1.719950943238e+45
123,8.761753424275e+00,4.834023140289e+01,8.840794319793e+33
124,1.391135198427e+01,3.342006169152e+01,7.057155826691e+43
125,1.636005044953e+01,3.256638631395e+01,7.057155091074e+43
126,1.187200150603e+01,2.828557497190e+01,6.004659907288e+44
127,1.413858834011e+01,5.469730723325e+01,1.077306875153e+44
128,1.137640133074e+01,2.911615675517e+01,1.412924212928e+45
129,1.355791324994e+01,3.483815016413e+01,6.632260853252e+44
130,1.324744290703e+01,2.730114742274e+01,9.402721555321e+44
131,1.226546844603e+01,3.987661777915e+01,7.057121069647e+43
132,2.099934854134e+01,3.251519866482e+01,2.801391980027e+44
133,1.392224537006e+01,3.148367853249e+01,7.099765890642e+43
134,1.514709072184e+01,2.270200640681e+01,7.057111740702e+43
135,1.249437528496e+01,2.222503543720e+01,1.069017386647e+44
136,2.174928810128e+01,8.221907956069e+01,1.641966183232e+45
137,1.370943483689e+01,2.210248717613e+01,7.057168740809e+43
138,1.849986512434e+01,5.197751815394e+01,1.157590004547e+34
139,2.196889661538e+01,6.215610315319e+01,2.807547927416e+44
140,1.980486401872e+01,3.812899107335e+01,1.076297223461e+44
141,1.093393000387e+01,2.467071605349e+01,6.762516949730e+44
142,1.383013493864e+01,2.342161860495e+01,3.421400190054e+44
143,1.728701045060e+01,3.966765456996e+01,3.417055207122e+44
144,2.348839911558e+01,4.490383310544e+01,1.086766928723e+45
145,1.303739006033e+01,3.335326113489e+01,1.423874164849e+45
146,1.849098818853e+01,4.710759005763e+01,6.607273613144e+44
147,1.432183343795e+01,3.546893216197e+01,7.145175443435e+43
148,1.470815008790e+01,3.294573026266e+01,3.506415494293e+44
149,1.442777371411e+01,3.784413365353e+01,3.506424858874e+44
150,1.562016997973e+01,2.922426512358e+01,2.801368505404e+44
151,1.572818353008e+01,3.103929843256e+01,2.801387812326e+44
152,1.299460009727e+01,3.365945784865e+01,9.402730821527e+44
153,1.470253734319e+01,3.243711749616e+01,7.057103431065e+43
154,1.490766824597e+01,2.345115317584e+01,6.006206407520e+44
155,2.227699392069e+01,3.410240594599e+01,1.066230636224e+44
156,1.567256096771e+01,4.145516990643e+01,1.066233200093e+44
157,1.513190420513e+01,1.926690599236e+01,4.235448673089e+44
158,3.437148518727e+01,4.956711630732e+01,1.066233743899e+44
159,2.405873212870e+01,3.959180209614e+01,6.773465686286e+44
160,1.525852914387e+01,3.425477682093e+01,3.401807565848e+44
161,1.391947658259e+01,3.891831843352e+01,1.071721987035e+44
162,1.429700358687e+01,4.880982997961e+01,7.145164632530e+43
163,1.876224242479e+01,1.074148872665e+02,1.066254648736e+44
164,1.655655746053e+01,3.656381906450e+01,6.817459810685e+33
165,1.391194110599e+01,2.828846456579e+01,6.021773234592e+44
166,2.324789678372e+01,2.983610589787e+01,1.853141618713e+45
167,1.326390727433e+01,4.835569955308e+01,1.069829448095e+44
168,1.595482694558e+01,3.663912264433e+01,7.057109833283e+43
169,1.487270549025e+01,6.826668621930e+01,1.071720345689e+44
170,1.521604418487e+01,4.275268864492e+01,7.102427341135e+43
171,1.862527154406e+01,3.147704573414e+01,4.251677268745e+44
172,1.305006899901e+01,3.167396652088e+01,3.506418254108e+44
173,1.922005340217e+01,4.868961127235e+01,3.516506469902e+44
174,2.002450301862e+01,5.964544300349e+01,4.254304320644e+44
175,2.046971162272e+01,3.409092808849e+01,2.796230592881e+44
176,1.535234050320e+01,3.924002257588e+01,1.071796308687e+44
177,1.370415006333e+01,2.632233481106e+01,6.214709112278e+44
178,1.121846010893e+01,4.281179817718e+01,7.057127738789e+43
179,1.428519496810e+01,2.787207832274e+01,7.168328954832e+44
180,1.957188575196e+01,3.841920274380e+01,8.220244493788e+44
181,1.436839880788e+01,2.916118878026e+01,2.801369768689e+44
182,1.817891228016e+01,4.947963970827e+01,6.195858869084e+44
183,1.076542510073e+01,2.851983340208e+01,1.075335435693e+44
184,1.514898128601e+01,2.510554170565e+01,1.066251284103e+44
185,1.567831338993e+01,3.753087726587e+01,1.066241666277e+44
186,1.539586119729e+01,2.430284349112e+01,7.286542407646e+38
187,1.621231091729e+01,3.531714678187e+01,9.402682699193e+44
188,1.594499986872e+01,1.643355580165e+01,2.322593871684e+45
189,1.788996652846e+01,2.559866727521e+01,3.506420422836e+44
190,1.205917570555e+01,2.645158369502e+01,7.102383636640e+43
191,1.746806411095e+01,3.865952634816e+01,8.156041676833e+44
192,1.559975344339e+01,2.929513822692e+01,1.082562972326e+44
193,2.222549486645e+01,4.992428997053e+01,1.425829222267e+45
194,1.541602278844e+01,2.682995201582e+01,7.145126544659e+43
195,1.483190987474e+01,2.652344066969e+01,7.079770151296e+43
196,1.943162948558e+01,1.600194726452e+02,1.069817595438e+44
197,2.074290605347e+01,3.447332118062e+01,1.321653809017e+45
198,2.350589928965e+01,4.587193739483e+01,7.057132109741e+43
199,1.523765336816e+01,3.336292712904e+01,7.145131918464e+43
200,1.406595528953e+01,5.184935855933e+01,4.251694062024e+44
201,1.868591715505e+01,4.476045024377e+01,7.057173455671e+43
202,2.145670115771e+01,4.883714021506e+01,1.074104876126e+44
203,2.934169770736e+01,3.599535645853e+01,4.241620796682e+44
204,1.618626445838e+01,4.027778475530e+01,6.315960895848e+44
205,1.284865737030e+01,4.139476495271e+01,1.100285882593e+45
206,1.182590003282e+01,8.695220539105e+01,8.206353026472e+44
207,1.406862847657e+01,2.933827431919e+01,1.066236879731e+44
208,1.168999590024e+01,4.352274913936e+01,1.071060597944e+44
209,1.340223029677e+01,2.839510790682e+01,7.099976692024e+43
210,1.906034573765e+01,5.373562258366e+01,7.060052740567e+44
211,1.910697726131e+01,9.054720721333e+01,1.076959475404e+44
212,1.287010035316e+01,3.953916206522e+01,3.052168023566e+34
213,1.248623581207e+01,3.380097938678e+01,1.081814566942e+44
214,1.233746965448e+01,4.367225064719e+01,1.876244018662e+44
215,8.907142434328e+00,3.275601491627e+01,9.388818656662e+44
216,1.437278191934e+01,4.012846547507e+01,3.504587338152e+44
217,1.706648953183e+01,5.416789139939e+01,2.645194503326e+44
218,2.160284082572e+01,5.517282744404e+01,2.642658129998e+44
219,1.109691860018e+01,2.281873725576e+01,2.642654128389e+44
220,1.684863307403e+01,3.978999224316e+01,7.145148120936e+43
221,1.577545068445e+01,3.250102438399e+01,7.041703159886e+43
222,1.574445629044e+01,4.176409889501e+01,6.210733197339e+44
223,1.554666763884e+01,2.397798621326e+01,1.071467760428e+44
224,1.714227707549e+01,3.054757107110e+01,1.360273260854e+45
225,1.241220524040e+01,3.853240939442e+01,7.057137807885e+43
226,1.704283492350e+01,4.012684251165e+01,7.102368321589e+43
227,1.259055361734e+01,3.808717151246e+01,1.071722878000e+44
228,2.272775798036e+01,4.075854071629e+01,7.099672714877e+43
229,2.274781951272e+01,2.835548147362e+01,2.889866451841e+39
230,2.327451735087e+01,3.087864672466e+01,4.232567346436e+44
231,1.195279585362e+01,2.783204553824e+01,7.800607021000e+44
232,1.217225581847e+01,2.831900148929e+01,6.315953253266e+44
233,1.551244485606e+01,3.597669957529e+01,3.487599444950e+44
234,1.696523264135e+01,3.730019068723e+01,3.496342103524e+44
235,1.797833276057e+01,2.525907701511e+01,2.886073045944e+39
236,1.837055928722e+01,5.208084701784e+01,2.801385012822e+44
237,1.897376635826e+01,4.886444713291e+01,3.421410121519e+44
238,3.073067873849e+01,4.557296061277e+01,1.161019015510e+45
239,1.324856963803e+01,2.934955930108e+01,1.066243853333e+44
240,1.873423301231e+01,2.978822005483e+01,1.296997348506e+45
241,1.187393909716e+01,3.110022693620e+01,2.738177561738e+33
242,2.864480818686e+01,2.612387149170e+01,7.102386366879e+43
243,2.778130143561e+01,2.397113477736e+01,7.057076523464e+43
244,1.837106119099e+01,7.662230890853e+01,7.211484470791e+44
245,1.891385917741e+01,2.962312519897e+01,2.887401937604e+39
246,1.419187605785e+01,2.938720551329e+01,4.243591339282e+44
247,1.914491090382e+01,2.340038765024e+01,4.242590322823e+44
248,1.271731552385e+01,3.616668567074e+01,9.214024551325e+44
249,2.620563168830e+01,5.748906253356e+01,3.516593700234e+44
250,2.008975715814e+01,4.844948605664e+01,4.232554347438e+44
251,1.713232741788e+01,4.843469155229e+01,4.232573116080e+44
252,1.692500734513e+01,4.544271898304e+01,2.703086030071e+45
253,1.916534404361e+01,2.985186577034e+01,1.066250293538e+44
254,1.868249085423e+01,2.858567348182e+01,1.069823132705e+44
255,1.603676632260e+01,4.537286975608e+01,7.057100613702e+43
256,1.340895140484e+01,6.375088464846e+01,3.506421136143e+44
257,2.068132210969e+01,2.915562715478e+01,3.515910060387e+44
258,2.220196017088e+01,3.355780577053e+01,7.158397171183e+43
259,1.753937730742e+01,2.665510157469e+01,5.731092366726e+44
260,1.366335164289e+01,3.501475863421e+01,4.238897354998e+44
261,1.642712510710e+01,3.246596590672e+01,7.102380657033e+43
262,1.726673017474e+01,4.692954818238e+01,4.037072145640e+44
263,1.312530801393e+01,3.310878534235e+01,6.497636721202e+44
264,1.401164856680e+01,2.418232770804e+01,4.242598748880e+44
265,2.185055082337e+01,7.542023301923e+01,1.069121087044e+44
266,1.631429083867e+01,5.803074492533e+01,2.348774448545e+45
267,1.727624224908e+01,2.566231973236e+01,4.232534576747e+44
268,1.417081959411e+01,3.691794305070e+01,7.057154878831e+43
269,1.742066193401e+01,2.757465310959e+01,4.233528559821e+44
270,1.565536685862e+01,3.475309064808e+01,7.057126164332e+43
271,1.410526055621e+01,2.987248374200e+01,1.166531654455e+45
272,1.026591618865e+01,3.748073775206e+01,7.057080245083e+43
273,1.782806144757e+01,3.915891157301e+01,4.232525574776e+44
274,1.493654929037e+01,2.601083622176e+01,7.294304059756e+38
275,1.560881448864e+01,3.081051587332e+01,2.801383066979e+44
276,1.076564182580e+01,2.352788278217e+01,7.057111959326e+43
277,1.255755186301e+01,4.422402038091e+01,2.783714410538e+44
278,1.368074347914e+01,3.422393659613e+01,7.057138584576e+43
279,9.397325085708e+00,4.229461701904e+01,6.218791909685e+44
280,1.472914697353e+01,4.099835913350e+01,6.023013061629e+44
281,1.498274822203e+01,4.287956076431e+01,7.287670951001e+38
282,3.347513548069e+01,3.780936747827e+01,3.516507839154e+44
283,1.902413994622e+01,3.782253969597e+01,3.506420010204e+44
284,1.428743493641e+01,5.353867680270e+01,4.254650479193e+44
285,1.335527272918e+01,2.802840527867e+01,5.628178700563e+33
286,1.923661673711e+01,4.575912591140e+01,1.077296931853e+44
287,1.633141112728e+01,2.644839723847e+01,1.071460710208e+44
288,1.706857219945e+01,9.974636043470e+01,3.504658978854e+44
289,1.639282058665e+01,3.648738830688e+01,2.801384645205e+44
290,2.835596422499e+01,3.198123344664e+01,1.883398942719e+33
291,1.214682328563e+01,5.122772643765e+01,3.494697867099e+44
292,1.871014680433e+01,2.367177304169e+01,7.485104282962e+44
293,1.434674078525e+01,3.363042439536e+01,2.801370987159e+44
294,2.153758847512e+01,4.432889146272e+01,9.402718568361e+44
295,1.941404573074e+01,2.485720572961e+01,2.801382812756e+44
296,1.201480814852e+01,5.670119842263e+01,1.071810666548e+44
297,1.268350181589e+01,3.199668378199e+01,5.731087424952e+44
298,1.780630721185e+01,2.915703326255e+01,7.312488473831e+38
299,1.810169330696e+01,4.856476876298e+01,1.066236995004e+44
300,1.496720072949e+01,7.632222485124e+01,8.201851411229e+44
301,1.893331582916e+01,3.299822175892e+01,6.196719183281e+44
302,2.029148090577e+01,6.997761401086e+01,7.157510671970e+43
303,1.569222975368e+01,2.274777242608e+01,4.232548823832e+44
304,1.673770240136e+01,2.824546067410e+01,5.881140013630e+33
305,1.187503061421e+01,2.511202649380e+01,3.401811240717e+44
306,1.388399104680e+01,4.058113660069e+01,3.496339174971e+44
307,1.568554154927e+01,3.453022687041e+01,5.731125638773e+44
308,1.154520335458e+01,2.986597424074e+01,6.406649761914e+33
309,1.441274846214e+01,4.247005367140e+01,8.221442796387e+44
310,1.929656919346e+01,4.498923226426e+01,4.240376285947e+44
311,1.693709146829e+01,3.959388482919e+01,7.283985875023e+38
312,2.758709712880e+01,4.060878780377e+01,6.214741530633e+44
313,1.358351838359e+01,1.964712006326e+01,1.071719272638e+44
314,1.694238039960e+01,3.542241662832e+01,2.783731578676e+44
315,1.331827270773e+01,4.438995173695e+01,1.076367035239e+44
316,1.927178721726e+01,4.175709008125e+01,1.071460645458e+44
317,2.734513785608e+01,4.206903826987e+01,4.972385892580e+44
318,1.016548841510e+01,3.383800205318e+01,9.413318171901e+44
319,1.389053249741e+01,3.061942516719e+01,7.060056135925e+44
320,1.381801809960e+01,2.797547011986e+01,7.180119051316e+43
321,9.575176582590e+00,1.725944262521e+01,9.402702599792e+44
322,2.213329571871e+01,3.183606945997e+01,2.792413640212e+44
323,1.536873348287e+01,2.542795072905e+01,3.526012235463e+44
324,2.798527821328e+01,3.516989938313e+01,8.228666506476e+44
325,2.665813470883e+01,3.356229489238e+01,1.071798776256e+44
326,2.471043896276e+01,4.837748614108e+01,7.134624390470e+43
327,1.672676377567e+01,4.469028765867e+01,3.506414081825e+44
328,1.728126815498e+01,2.473052073328e+01,1.964763969820e+45
329,1.781344887385e+01,6.431771279208e+01,7.100025703305e+43
330,1.990418268372e+01,4.782453219715e+01,1.066236624708e+44
331,1.054952564233e+01,2.368251302043e+01,7.094664281349e+43
332,2.074492885975e+01,3.606278935913e+01,8.221443694684e+44
333,1.059271202058e+01,7.207982975728e+01,8.219348687036e+44
334,1.043265676541e+01,2.920097170146e+01,1.068142041257e+34
335,1.656734032312e+01,2.247650535275e+01,2.794991976463e+44
336,2.034967705430e+01,5.139091623373e+01,1.875964977235e+44
337,1.584017863868e+01,1.869388184262e+02,1.010110863627e+45
338,1.511679977394e+01,3.330128586748e+01,1.203338771786e+45
339,1.946322711233e+01,7.277903762840e+01,7.057182239845e+43
340,1.559251392455e+01,2.751428126425e+01,2.009655164107e+45
341,1.664595573061e+01,4.546941878617e+01,3.401826724398e+44
342,1.468129524446e+01,4.816369155296e+01,4.243275763461e+44
343,1.206341818264e+01,4.714311636691e+01,3.506415413671e+44
344,1.261168482225e+01,2.712073176341e+01,1.066237496609e+44
345,1.333532186542e+01,3.838957067786e+01,1.077298230311e+44
346,1.148177048769e+01,2.493887435493e+01,8.048196448815e+33
347,1.432832221256e+01,2.623995333511e+01,6.794105087524e+44
348,1.305776983859e+01,2.149787532754e+01,2.801400348841e+44
349,1.246908958184e+01,2.960980909519e+01,3.401837144099e+44
350,1.520407036477e+01,3.943847456379e+01,7.057091699062e+43
351,1.555931612003e+01,4.125343844127e+01,3.506409607993e+44
352,2.142531130168e+01,3.241730009829e+01,7.352989038609e+44
353,1.825184150192e+01,3.352624305373e+01,3.516502502127e+44
354,1.408409324024e+01,3.075741737454e+01,1.653675712626e+45
355,1.463459995256e+01,4.147233792931e+01,9.402723599697e+44
356,1.196807100213e+01,3.247262348772e+01,1.071055439135e+44
357,1.960629750466e+01,3.577376416742e+01,3.506422464698e+44
358,1.374479580692e+01,4.093570786850e+01,1.074296213344e+45
359,2.246698299811e+01,3.881020279321e+01,3.401824142711e+44
360,2.022063800342e+01,4.862962541214e+01,7.140323636022e+43
361,1.426005342999e+01,5.374978914759e+01,1.745239675789e+45
362,1.264656410378e+01,3.676036833048e+01,6.010461644399e+44
363,1.915685222784e+01,2.652866617334e+01,2.793214965314e+44
364,1.464258479918e+01,2.649621475893e+01,1.071801730466e+44
365,1.823317366987e+01,4.122978467021e+01,2.801389779841e+44
366,1.681128136114e+01,2.453605452897e+01,2.885239207432e+39
367,1.508351795744e+01,5.324623699594e+01,1.066243034522e+44
368,2.272166599131e+01,5.849935148387e+01,5.239444206185e+44
369,1.879969139478e+01,2.054356383409e+01,1.077298792144e+44
370,9.748850858300e+00,2.787470017895e+01,1.480754829920e+45
371,2.217315470293e+01,6.994343623387e+01,1.476583569328e+45
372,1.032594310417e+01,2.140868431158e+01,7.060079120309e+44
373,1.173418420566e+01,2.596510185237e+01,1.071801407673e+44
374,1.249340036910e+01,4.835123888486e+01,6.713422298469e+33
375,1.460441175572e+01,3.417098238784e+02,1.066233650501e+44
376,1.618777274218e+01,2.703414601680e+01,7.102404142384e+43
377,1.506724073690e+01,3.453430726298e+01,1.066243857662e+44
378,1.082657234590e+01,3.541145553712e+01,3.401633434849e+44
379,1.579787387386e+01,4.258538022274e+01,7.102377178637e+43
380,1.803316688803e+01,4.602914736849e+01,9.402747313461e+44
381,2.320363120709e+01,3.530802664124e+01,7.281452636639e+38
382,1.565622275675e+01,3.189299807138e+01,7.290670777637e+38
383,1.152060675387e+01,6.320485028931e+01,1.066232157248e+44
384,2.191827014633e+01,3.055866048254e+01,1.075333843185e+44
385,1.455752814657e+01,2.925755038291e+01,3.416607972007e+44
386,1.172981607399e+01,3.201584315929e+01,9.402673404651e+44
387,1.303498157609e+01,2.958183824045e+01,6.606038801089e+33
388,2.275697342147e+01,4.586413252363e+01,2.655026774032e+44
389,1.364723289467e+01,5.140024246878e+01,7.057137724429e+43
390,1.692117957530e+01,4.001396398137e+01,7.057133685148e+43
391,1.341797188403e+01,2.468007908520e+01,3.506420752673e+44
392,1.361656180275e+01,6.470621533929e+01,1.074293373904e+45
393,2.057821552160e+01,4.223908155523e+01,1.323479035647e+45
394,1.580976738874e+01,4.129235515824e+01,3.405373024264e+44
395,2.235125399414e+01,3.539324796229e+01,1.086108717701e+44
396,1.261731845101e+01,3.046792288701e+01,4.232554475142e+44
397,1.650840723164e+01,4.795382056215e+01,4.979160634522e+44
398,1.646982092902e+01,5.866699552766e+01,7.102416278315e+43
399,2.205504990380e+01,3.302162075299e+01,7.057112680395e+43
400,2.074704012647e+01,7.338838970693e+01,4.243259467448e+44
401,1.766243000511e+01,3.367828914829e+01,2.774824420112e+44
402,1.998890471257e+01,4.090970486290e+01,1.628940763448e+45
403,2.111255890274e+01,4.313625186578e+01,7.287748630137e+38
404,1.565166797342e+01,2.073734751046e+01,2.787647712556e+44
405,1.658798011922e+01,4.279986037807e+01,3.506422412474e+44
406,2.235224586030e+01,3.960547500696e+01,1.066247517247e+44
407,1.534167731205e+01,8.432055361448e+01,4.232557449029e+44
408,1.196324537911e+01,3.264054018740e+01,2.088643269049e+45
409,1.689202979561e+01,4.614641648204e+01,7.157482347776e+43
410,1.277663857653e+01,4.627525565159e+01,2.890179451564e+39
411,1.456534698017e+01,3.067147843126e+01,3.506420365405e+44
412,1.793276618582e+01,4.191685639176e+01,3.506411841721e+44
413,1.089532801691e+01,3.535676502934e+01,2.087583782182e+45
414,1.485531123169e+01,3.117749699901e+01,3.507320668292e+44
415,1.810408262416e+01,6.671139658674e+02,2.664264524507e+44
416,1.302275456672e+01,3.440954439742e+01,1.470744057391e+44
417,1.775606170707e+01,3.598126438474e+01,9.421616064301e+44
418,2.435632219098e+01,6.344453930240e+01,1.474318753763e+44
419,2.863488167556e+01,2.807353944715e+01,7.115425573220e+43
420,1.564314284760e+01,3.995064493806e+02,1.337147099679e+45
421,1.846326437574e+01,3.086213473784e+01,3.506428785108e+44
422,1.285262783436e+01,2.354942364825e+01,1.643508101677e+45
423,1.643378264796e+01,6.207949136595e+01,6.413918864239e+39
424,1.617241131567e+01,3.697477387833e+01,6.180352337554e+44
425,1.521452439350e+01,2.772089088284e+01,7.102435566397e+43
426,1.601744928568e+01,2.695535802618e+01,1.071761919000e+44
427,1.553223784341e+01,4.323298620199e+01,1.178457251906e+45
428,1.474249462294e+01,4.349735368866e+01,7.102451900619e+43
429,2.101178673329e+01,3.035321787031e+01,7.140315564691e+43
430,1.653111952661e+01,2.491904414547e+01,3.401816011887e+44
431,1.625321487866e+01,4.847501803927e+01,7.060063822913e+44
432,2.707808083174e+01,1.996924849007e+02,1.340058751297e+45
433,1.843250678729e+01,3.052286703768e+01,1.178577736079e+45
