score,observed_auc,null_mean_auc,null_std_auc,p_empirical,n_perm
S_wcos,3.778157942566e-01,4.997206381770e-01,1.057257444448e-02,1.000000000000e+00,2000
S_cos,3.705334423846e-01,4.999705891040e-01,1.106845205170e-02,1.000000000000e+00,2000
