condition,regime,K,participation_ratio,effective_rank,levina_bickel_mle,spectral_gap,eig1,eig2
shuffled_control,full_padded_1_60,12,8.424723923048e+00,9.805445656835e+00,8.999142446804e+00,8.724808071879e-01,2.617932561468e+00,1.745451754280e+00
shuffled_control,full_padded_1_60,13,8.921133399498e+00,1.047580724850e+01,9.323218603535e+00,9.276623134011e-01,2.684534049581e+00,1.756871736180e+00
shuffled_control,full_padded_1_60,14,9.480613200373e+00,1.121101173376e+01,1.017528390098e+01,9.356756154821e-01,2.704815976927e+00,1.769140361445e+00
shuffled_control,full_padded_1_60,15,9.222279306890e+00,1.137896772038e+01,1.066772084899e+01,8.942230134540e-01,3.301681881215e+00,2.407458867761e+00
shuffled_control,full_padded_1_60,16,9.861935897641e+00,1.219697418674e+01,1.105983313720e+01,9.015669096904e-01,3.310161639191e+00,2.408594729501e+00
shuffled_control,full_padded_1_60,17,1.019606222104e+01,1.273129983887e+01,1.145706203699e+01,9.343860678973e-01,3.351109898702e+00,2.416723830804e+00
shuffled_control,full_padded_1_60,18,1.054167176512e+01,1.332933391370e+01,1.200657775492e+01,1.080622404147e+00,3.502999273963e+00,2.422376869816e+00
shuffled_control,full_padded_1_60,19,1.046368739540e+01,1.365917685203e+01,1.245575440653e+01,1.483567603238e+00,3.984762080187e+00,2.501194476949e+00
shuffled_control,full_padded_1_60,20,1.100666945900e+01,1.418997576140e+01,1.300553637860e+01,1.274156635452e+00,3.992854852746e+00,2.718698217294e+00
shuffled_control,full_padded_1_60,21,1.121621469790e+01,1.463345020635e+01,1.312496524869e+01,1.425147841569e+00,4.144478836338e+00,2.719330994769e+00
shuffled_control,full_padded_1_60,22,1.155146527602e+01,1.519618645400e+01,1.306570465156e+01,1.523193323013e+00,4.289174018707e+00,2.765980695695e+00
shuffled_control,full_padded_1_60,23,1.184089236187e+01,1.570655525322e+01,1.307611674105e+01,1.581665827690e+00,4.356588297219e+00,2.774922469528e+00
