n_bands,pc1,pc2,pc3,best_k,best_silhouette,mean_top10_anova_block,mean_top10_anova_period,periodicity_strength,z_r2,p_mean_top10_anova_block,p_mean_top10_anova_period,p_periodicity_strength
12,2.079231374857e-01,1.636774216312e-01,1.105870386007e-01,3.000000000000e+00,5.827693352521e-01,4.119878272257e+00,1.252479532957e+01,5.568608508391e+07,5.499584004830e-01,9.990009990010e-04,9.990009990010e-04,1.558441558442e-01
16,1.835156677893e-01,1.489435216872e-01,1.387113578806e-01,2.000000000000e+00,4.526921899077e-01,4.580492394031e+00,1.221683926512e+01,5.327801614278e+07,6.097720292461e-01,9.990009990010e-04,9.990009990010e-04,1.638361638362e-01
24,1.497513236436e-01,1.302384062234e-01,1.018317105977e-01,3.000000000000e+00,4.983312914670e-01,5.009745064905e+00,1.530649414743e+01,5.388702586265e+07,6.151064359401e-01,9.990009990010e-04,9.990009990010e-04,1.748251748252e-01
32,1.479030078339e-01,1.312430489233e-01,1.204316234826e-01,3.000000000000e+00,5.225925370439e-01,6.406603772441e+00,1.989496036489e+01,5.211524108097e+07,6.597320606141e-01,9.990009990010e-04,1.998001998002e-03,1.838161838162e-01
37,1.479006126923e-01,1.274726132440e-01,1.129000900589e-01,3.000000000000e+00,4.965372350053e-01,6.677231024753e+00,2.736796584695e+01,4.987364544765e+07,6.931685817853e-01,9.990009990010e-04,9.990009990010e-04,2.367632367632e-01
48,1.445025541371e-01,1.245823648862e-01,1.092418620725e-01,3.000000000000e+00,5.272646969302e-01,6.285244782148e+00,2.456062668499e+01,4.634356697003e+07,7.061832298615e-01,9.990009990010e-04,1.998001998002e-03,2.517482517483e-01
64,1.365248622452e-01,1.223801429118e-01,1.104947271129e-01,2.000000000000e+00,4.278033046839e-01,6.821107165659e+00,2.635156605107e+01,4.037138269471e+07,7.210534556559e-01,9.990009990010e-04,9.990009990010e-04,1.938061938062e-01
