band,anova_f_block
b29,1.070534228118e+01
b27,1.065313004331e+01
b26,7.647448807633e+00
b31,6.419377230111e+00
b10,5.664313703245e+00
b28,5.339540050943e+00
b30,4.775586382710e+00
b25,4.502271535232e+00
b06,4.354930402027e+00
b13,4.004097288014e+00
b14,3.845695678610e+00
b07,3.372319580286e+00
b12,2.975034933806e+00
b05,2.879087739139e+00
b24,2.878033572354e+00
b11,2.435834763355e+00
b04,2.320987654321e+00
b03,2.320987654321e+00
b01,2.320987654321e+00
b02,2.320987654321e+00
b15,2.286179507866e+00
b32,2.069660391659e+00
b23,2.064104557426e+00
b19,1.788359788360e+00
b17,1.788359788360e+00
b09,1.630818258829e+00
b16,1.301017525949e+00
b18,8.633461047254e-01
b22,8.336373236056e-01
b21,5.505183363132e-01
b20,5.285168641160e-01
b08,5.604378241323e-02
