k,inertia,silhouette
2,3.135875610149e+03,4.459545389727e-01
3,2.729751859866e+03,5.225925370439e-01
4,2.725971426457e+03,4.941599915004e-01
5,2.840783442170e+03,1.123814086970e-01
6,2.364995147829e+03,2.265007636090e-01
7,2.179058840800e+03,3.224340579669e-01
8,1.909240276182e+03,8.109761566700e-02
9,1.668345090092e+03,3.741994872375e-01
10,1.779196073802e+03,2.070217925723e-01
11,1.328692343404e+03,3.500581689415e-01
12,1.465297297951e+03,2.634372382310e-01
