band,anova_f_period
b06,5.642182410423e+01
b05,2.581500771605e+01
b07,2.050889221595e+01
b02,1.652160493827e+01
b04,1.652160493827e+01
b01,1.652160493827e+01
b03,1.652160493827e+01
b30,1.364140438678e+01
b28,9.153268553964e+00
b29,7.322786918795e+00
b11,6.292932795173e+00
b17,5.195473251029e+00
b19,5.195473251029e+00
b27,5.168782233968e+00
b32,3.510454899344e+00
b26,3.468050142740e+00
b31,2.765483445332e+00
b25,2.548040730651e+00
b18,2.226631393298e+00
b10,2.173140892554e+00
b12,2.155728742090e+00
b13,1.939906213257e+00
b24,1.651394706863e+00
b20,1.598417408506e+00
b23,1.451967978964e+00
b09,1.407046540935e+00
b08,1.343493135457e+00
b22,1.200456458593e+00
b14,8.507679724576e-01
b21,8.277309174216e-01
b15,8.101913617681e-01
b16,6.624070317782e-01
