k,inertia,silhouette,status,repeat
2,3.35624898910257e+37,0.7885495557114266,ok,3
3,2.0957101068544145e+37,0.5798538871424999,ok,3
4,1.3048770647769144e+37,0.586700485188365,ok,3
5,1.0877544935061987e+37,0.4293761994930629,ok,3
6,9.130974129783648e+36,0.39977753253055126,ok,3
7,7.380127939056375e+36,0.48358528996701255,ok,3
8,6.14117051891332e+36,0.4576937678039954,ok,3
