symbol,pc1,pc2,pc3
Ac,-1.290451765470108e+17,-2.3717502853291443e+17,-1.2686023140355222e+17
Ag,-1.212245316785911e+17,-2.7898273127953444e+16,-1.2302932670445909e+17
Al,-1.2915424774271542e+17,-7.26792798846937e+16,9725305244691938.0
Am,-1.1667037946086117e+17,-2.333155291320408e+17,-1.580351238583017e+17
Ar,1.503029584694251e+16,1.5356397834404472e+18,9.114790699812966e+16
As,-1.2677006485033867e+17,1025256765741858.5,-1.3050408889896872e+17
At,-1.2158631503519254e+17,-2.3359731226865706e+17,-1.579841442607833e+17
Au,-1.2077118857296634e+17,-1.3461223344212782e+17,-1.3775936259946373e+17
B,-1.2698741417123898e+17,-2810986828744253.0,-2.1765651604093232e+17
Ba,-1.3659540803238253e+17,-2.926881270958141e+17,2.35591677424678e+17
Be,-9.45596633815966e+16,1.7250072371661728e+17,-3.446854394848763e+17
Bh,-1.1459870498803186e+17,-2.298762334252875e+17,-1.60997758848819e+17
Bi,-1.2358327689129754e+17,-1.2204491261751312e+17,-1.3537183945829221e+17
Bk,-1.2740989330167552e+17,-2.3073769595497117e+17,-1.6079465687911594e+17
Br,-1.2451320929050139e+17,4.66065065932143e+17,-6.5897505218094776e+16
C,-5.173581013514813e+16,8.487397477451981e+17,-8465292239791874.0
Ca,2.1430653526989398e+17,6.778870498770889e+17,2.0583385538400326e+17
Cd,-3.1664013517584984e+16,-3.054523522018555e+16,-1.2528958003098202e+17
Ce,-1.4181778594960632e+17,-2.971034595482647e+17,3.095735431667285e+17
Cf,-1.264712625959476e+17,-2.327288898362996e+17,-1.6312852863838547e+17
Cl,-1.9413132019770916e+16,8.175779844398208e+17,-9300943376770750.0
Cm,-1.1446785082366867e+17,-2.325652144321786e+17,-1.6173996110609306e+17
Co,-1.3581287853079072e+17,-2.3200238004140704e+17,-1.6175729548586896e+17
Cr,-1.1673218848642712e+17,3.3840779552916134e+17,2.3724999218945856e+17
Cs,-1.2876539582455598e+17,-2.3545165281153136e+17,-1.2413034096025878e+16
Cu,-1.2667804440158098e+17,4.988303830225405e+17,-3.483657823267785e+16
Db,-1.2472551734539568e+17,-2.2684317100173014e+17,-1.6424222622062515e+17
Dy,-1.4240293588481546e+17,-3.186873741990073e+17,4.797645052348679e+17
Er,-1.457170678704926e+17,-3.1498774187291066e+17,4.563097200819231e+17
Es,-1.2367786793477104e+17,-2.3146988105130246e+17,-1.5881004913637485e+17
Eu,-1.5123676821939274e+17,-2.998489182077371e+17,4.441490748694251e+17
F,9.84390783550317e+17,-7.867082136308862e+16,-9.33536553696467e+16
Fe,-1.3012059096418758e+17,7.269344126859424e+17,2.358581603627534e+17
Fm,-1.3322806387783656e+17,-2.253428810140405e+17,-1.642754582696543e+17
Fr,-1.2354002718890648e+17,-2.4578346885631862e+17,-5.180434628577847e+16
Ga,-7.919661083959102e+16,-4.49657115388512e+16,9.565078997286296e+16
Gd,-1.3876512537599803e+17,-3.0290084797814464e+17,3.302571288182762e+17
Ge,-1.4233209456585736e+17,8.960713437416351e+17,1.0744017679694154e+16
H,-1.3131267087146965e+17,9.314697568130274e+16,-1.1718428699553726e+17
He,4.80807023022531e+18,-2.245542757795328e+17,4.887252309886211e+16
Hf,-1.3648195859807942e+17,-1.7982444882312045e+17,1.3120924819942613e+17
Hg,-2.1412263538845264e+16,4.5536376831126925e+17,-5.943246487909491e+16
Ho,-1.17493520653181e+17,-2.4922538600214237e+17,-2393447845683170.0
Hs,-1.2570892621551773e+17,-2.3126977156454867e+17,-1.6400385906140522e+17
I,-1.2028332434660946e+17,2.974804982623084e+17,-8.881953847249491e+16
In,-1.2303323939671789e+17,-2.3141119941482787e+17,-2.807468368519167e+16
Ir,-1.2626511557143688e+17,-5.443640471616726e+16,-3.676541567375376e+16
K,5.1156193083390234e+17,-2.5467172947257994e+17,5.239635070777314e+16
Kr,-2.0335562195759604e+16,1.4290345369549765e+18,6.227810303253898e+16
La,-1.4071420939595883e+17,-2.236680495076473e+17,8.87207254764323e+16
Li,-5.359449950534241e+16,-2.645129587728645e+17,-6.382039818961138e+16
Lr,-1.1717871537543344e+17,-2.3146421586107302e+17,-1.600132859435257e+17
Lu,-1.2877604022748483e+17,-2.6240780959058947e+17,5.545325164826188e+16
Md,-1.2467195318181494e+17,-2.339851765239908e+17,-1.624763374168651e+17
Mg,-5.985715237431683e+16,2.442588645150661e+17,-1.1592093691419336e+17
Mn,-1.503702686935263e+17,5.234418960832965e+17,6.7570975286659096e+16
Mo,-1.44561858951925e+17,-2.5287376156590464e+16,1.6149346403812102e+17
N,5.567270927053028e+16,8.457118304867292e+17,-428446776180145.44
Na,1.7312531279332918e+18,-2.6281828025594266e+17,3.052655828941595e+16
Nb,-1.2355364501460634e+17,-2.2972908664809978e+17,-1.6723148822020915e+17
Nd,-1.3849743015540574e+17,-2.9142717964914534e+17,2.581017283564818e+17
Ne,1.7289623672806403e+18,-2.3123405018290176e+17,-8.615304457634944e+16
Ni,-1.2798370897903202e+17,7.30899782202425e+16,-3.145865069548506e+16
No,-1.1269204945610683e+17,-2.241989187789653e+17,-1.6140928596248138e+17
Np,-1.1399973160897512e+17,-2.3130141212478106e+17,-1.6144275763104746e+17
O,1.1460004287196852e+18,6.61572008684568e+17,2.044716983188986e+16
Os,-1.3125592382314728e+17,-8.918075503347987e+16,4213086669084325.5
P,-1.276326382836778e+17,4.350469320199772e+17,-6.700428270957049e+16
Pa,-1.2643662094886072e+17,-2.335152770386219e+17,-1.627971348649644e+17
Pb,-1.2433420980736395e+17,-2.6203539031938396e+16,-1.2051651590191706e+17
Pd,-1.1613542400560464e+17,-2.324035205561893e+17,-1.6155674536707475e+17
Pm,-1.2632060139166896e+17,-2.6025331460424416e+17,-4453052042452116.0
Po,-1.1780426569883325e+17,-1.8218214047053427e+17,-1.4909514325296246e+17
Pr,-1.3664618739604045e+17,-2.6217255288253078e+17,3.366613901586426e+16
Pt,-1.1204319034060592e+17,4.590744385115231e+16,-7.918634411480691e+16
Pu,-1.174605941647756e+17,-2.2814921085779414e+17,-1.6048020144533456e+17
Ra,-1.1812731904296128e+17,-2.3990551923833792e+17,-7.750945720904989e+16
Rb,-9.839812835875803e+16,-2.6400432655963654e+17,5.99504017602428e+16
Re,-1.3114427035515926e+17,-2.9570538648338024e+16,1.4933400089883274e+16
Rf,-1.2947772778381813e+17,-2.300031938093463e+17,-1.617128618547532e+17
Rh,-1.2651837919385566e+17,-2.0004217045207546e+17,-5.8741848677186456e+16
Rn,-1.2291659706899894e+17,1.877728776918901e+16,-1.2784019698760318e+17
Ru,-1.3884519958804187e+17,-1.9503638714535958e+17,9.66366918898619e+16
S,-1.1936888539674669e+17,7.535573371003342e+17,-2.245383900884989e+16
Sb,-1.296944525195138e+17,3.627930941024622e+16,-1.1766869976086418e+17
Sc,-1.489883749747781e+17,6.363140913305711e+16,1.8456983209794234e+17
Se,-1.2866861467337888e+17,1.23791959117102e+17,-1.1018764655002014e+17
Sg,-1.3003481545378947e+17,-2.327971138900126e+17,-1.620553071029806e+17
Si,-1.4005106049951194e+17,7.685454545738144e+17,-4195997762391738.0
Sm,-1.330612723456709e+17,-2.730883424723553e+17,1.616146673065168e+17
Sn,-1.2685113456012846e+17,1.076291525952516e+17,-8.411529436171398e+16
Sr,-1.4163738045902501e+17,-3.222982304266335e+16,1.6198874429482115e+17
Ta,-1.2956703610122154e+17,-2.2741602426162227e+17,9.54487741299689e+16
Tb,-1.3488014765848462e+17,-2.8102751083256806e+17,1.956121541600963e+17
Tc,-1.3668439015018062e+17,-1.952010161577356e+17,8.101770394785402e+16
Te,-1.1924463556217541e+17,-1.6986718013957056e+16,-1.2567827660829229e+17
Th,-1.5783525016946403e+17,-3.267558742129049e+17,5.37119213020139e+17
Ti,-1.3900837291941264e+17,-1.746598262230314e+17,3.4959973540840666e+17
Tl,-1.329401459898628e+17,-2.1604573647791024e+17,-9.544831409377266e+16
Tm,-1.498263658289753e+17,-1.326055903181382e+17,4.0487767665171814e+17
U,-1.198713420657696e+17,-2.2589828864729443e+17,-1.6460875584784243e+17
V,-1.5315031370259155e+17,-2.5359076982394307e+17,3.5710308808624646e+17
W,-1.3358309842674424e+17,1.4358775045168307e+17,1.5983747984473712e+17
Xe,1.7592578198218125e+17,8.878895242955155e+17,6350345337707926.0
Y,-1.2703673962518394e+17,-2.505822270442919e+17,1.7061636929607758e+16
Yb,-1.28958682239658e+17,-8.857020284305734e+16,2.7787029672136324e+16
Zn,4.248885651457084e+17,3.684021278021545e+17,-5.058742907124263e+16
Zr,-1.3287461687969414e+17,-2.5098709051642688e+17,3.560103997290503e+16
