symbol,pc1,pc2,pc3
Rf,-1.2350349712232603e+17,-2.346635217880774e+17,-1.6166805413846787e+17
Rh,-1.3145400954125203e+17,-2.0258735766664672e+17,-6.14873190959854e+16
Rn,-1.2600109230623934e+17,2.7509593677113772e+16,-1.2571557402874678e+17
Ru,-1.3198613644744434e+17,-1.8844581033010774e+17,9.913410623594638e+16
S,-1.27179076835902e+17,7.683895260497692e+17,-2.430010753054646e+16
Sb,-1.2129556587863747e+17,3.6643573558607896e+16,-1.1852684244378368e+17
Sc,-1.3814641255376869e+17,6.256651956220693e+16,1.8124416517285507e+17
Se,-1.2814153829281987e+17,1.2595382314855656e+17,-1.1210743385826096e+17
Sg,-1.27971925519542e+17,-2.26544695705835e+17,-1.6333907678367805e+17
Si,-1.1315034424054142e+17,7.694450087102591e+17,-1.022261282885387e+16
Sm,-1.4169369571435354e+17,-2.791273377786303e+17,1.5994826119427488e+17
Sn,-1.1926773525348576e+17,1.0762127591335838e+17,-8.652415616267512e+16
Sr,-1.3746841149991797e+17,-3.75010449940736e+16,1.6293193638074486e+17
Ta,-1.3499954475994243e+17,-2.3035662605959898e+17,9.30642370248316e+16
Tb,-1.4293981318554296e+17,-2.8452355159419085e+17,1.9186915254259814e+17
Tc,-1.352075592591366e+17,-1.8102143198838163e+17,8.51899505594857e+16
Te,-1.2529453781788795e+17,-7813109873778178.0,-1.2890501338007315e+17
Th,-1.6168204550289728e+17,-3.2739836874037984e+17,5.435502430909601e+17
Ti,-1.448491142346244e+17,-1.717095825788905e+17,3.490190783146318e+17
Tl,-1.2812677988090662e+17,-2.090894782684084e+17,-9.556837514080067e+16
Tm,-1.4555381614073946e+17,-1.3065739587103523e+17,4.0471748180907264e+17
U,-1.2395642432034285e+17,-2.3336353753302656e+17,-1.6248224966201667e+17
V,-1.4952208852926454e+17,-2.614067539437826e+17,3.580196059389682e+17
W,-1.3140546753464992e+17,1.417799328882045e+17,1.6345851472559523e+17
Xe,1.9303780062499194e+17,8.949590215033334e+17,8800006960573295.0
Y,-1.3106526630320208e+17,-2.5298510459227315e+17,1.4217587554191194e+16
Yb,-1.2382427716894408e+17,-8.184105963514248e+16,2.818020310683865e+16
Zn,4.2640175174431424e+17,3.6411526111906336e+17,-5.29994670410004e+16
Zr,-1.3025867750411222e+17,-2.5482898742779635e+17,3.5212057374957776e+16
